,chr,indexStart,indexEnd,L,p.value
13413,chr9,231979,231979,1,0.000535163
12656,chr8,209959,209960,2,0.000414904
5597,chr17,389237,389241,5,0.000365919
22656,chr17,387177,387184,8,0.000346815
10901,chr5,143925,143933,9,0.000350734
8701,chr3,81466,81474,9,0.000354897
8066,chr20,433927,433931,5,0.00037841
11645,chr6,173041,173049,9,0.000373267
10109,chr5,124472,124480,9,0.000374981
7615,chr2,67501,67505,5,0.000408781
7418,chr2,62328,62335,8,0.000369593
7670,chr2,67825,67830,6,0.000422252
1292,chr1,43890,43895,6,0.000423966
7373,chr2,61332,61338,7,0.000397514
12819,chr8,214397,214403,7,0.000403638
1258,chr1,43051,43060,10,0.000381839
8990,chr3,92635,92639,5,0.000434253
7889,chr2,75346,75352,7,0.00041172
29237,chr5,130422,130422,1,0.000670362
13135,chr8,222922,222929,8,0.000397025
12953,chr8,217972,217976,5,0.000451153
488,chr1,18265,18271,7,0.000426171
5210,chr17,375476,375483,8,0.000408046
11872,chr7,182515,182519,5,0.000469523
13099,chr8,221923,221930,8,0.000418823
15431,chr1,31680,31686,7,0.0004465
19665,chr12,311496,311500,5,0.000500383
9246,chr3,100093,100100,8,0.000429355
8336,chr21,443141,443145,5,0.000506996
10321,chr5,130679,130682,4,0.000465359
12832,chr8,214898,214901,4,0.000470502
10903,chr5,143961,143966,6,0.000501853
12276,chr7,194527,194531,5,0.000528795
587,chr1,20914,20919,6,0.000507486
12168,chr7,190874,190879,6,0.000508221
1801,chr10,254253,254256,4,0.000489851
12020,chr7,186991,186997,7,0.000470502
1148,chr1,39717,39726,10,0.000435478
1328,chr10,239297,239297,1,0.000767107
9493,chr4,108293,108300,8,0.000459481
6869,chr19,430870,430877,8,0.000464624
4149,chr14,334700,334704,5,0.000555736
2033,chr10,261023,261026,4,0.000510425
5312,chr17,379287,379291,5,0.00056186
1427,chr10,242485,242492,8,0.000481034
11914,chr7,184153,184161,9,0.000492546
2561,chr11,281827,281831,5,0.000569942
12512,chr7,203734,203739,6,0.000532958
8900,chr3,88978,88986,9,0.000499648
5607,chr17,389333,389339,7,0.00049475
15337,chr1,29358,29358,1,0.000827849
5953,chr18,401822,401828,7,0.000496954
6929,chr2,46628,46631,4,0.000532713
7953,chr20,431487,431492,6,0.000540796
638,chr1,22003,22007,5,0.000588556
6565,chr19,421687,421691,5,0.000588801
10004,chr4,121351,121357,7,0.000503077
5960,chr18,401971,401976,6,0.000545694
13862,chrX,460610,460613,4,0.000547164
26171,chr22,445698,445698,1,0.000856505
11514,chr6,169814,169818,5,0.000607661
8016,chr20,433101,433105,5,0.00060815
2780,chr12,289475,289480,6,0.000556961
11700,chr6,174589,174596,8,0.000522426
1403,chr10,242161,242168,8,0.000525366
10525,chr5,135981,135988,8,0.000531734
9174,chr3,97681,97687,7,0.00052806
13501,chr9,233929,233930,2,0.000664238
16831,chr10,249608,249609,2,0.000667423
9792,chr4,115879,115880,2,0.000672811
2099,chr11,263700,263707,8,0.000556226
8594,chr3,78214,78219,6,0.000589781
16644,chr10,246408,246413,6,0.00059419
13748,chrX,458018,458023,6,0.000595414
2982,chr12,297555,297560,6,0.000604477
7022,chr2,49548,49556,9,0.00056088
2658,chr11,285681,285682,2,0.000703182
6277,chr19,412708,412716,9,0.000574841
10595,chr5,137358,137365,8,0.000585862
10112,chr5,124629,124637,9,0.000580719
4644,chr15,352282,352286,5,0.000674036
9104,chr3,95989,95996,8,0.00059468
8632,chr3,79379,79387,9,0.000584883
2732,chr11,288033,288040,8,0.000601782
11421,chr6,167647,167654,8,0.000602762
6790,chr19,429067,429068,2,0.000715673
3920,chr14,326820,326825,6,0.00062701
10323,chr5,130693,130698,6,0.000627989
6820,chr19,430099,430106,8,0.00061109
5275,chr17,377248,377256,9,0.000597374
13844,chrX,460311,460317,7,0.000577535
8506,chr22,450281,450285,5,0.000694119
9930,chr4,119560,119565,6,0.000640236
7905,chr2,75962,75966,5,0.000708815
11547,chr6,170101,170103,3,0.000618192
8608,chr3,78603,78608,6,0.000644644
8421,chr22,446322,446322,1,0.001024034
7930,chr2,77119,77124,6,0.000663994
8760,chr3,83734,83739,6,0.000666443
5524,chr17,386746,386749,4,0.000673301
96,chr1,4859,4864,6,0.000673301
13695,chrX,455768,455773,6,0.00067526
10051,chr5,122975,122977,3,0.000632153
6885,chr2,44982,44983,2,0.000765883
9186,chr3,98118,98122,5,0.000738941
8799,chr3,86091,86097,7,0.000617948
9541,chr4,109725,109729,5,0.000752167
8541,chr22,451522,451528,7,0.000624071
9620,chr4,111311,111317,7,0.000624316
30267,chr6,152572,152575,4,0.000693385
12884,chr8,216665,216672,8,0.000678934
8593,chr3,78208,78212,5,0.000762944
12294,chr7,195113,195116,4,0.000712244
7151,chr2,54192,54199,8,0.000682853
11017,chr6,147493,147496,4,0.000721061
4918,chr16,364131,364134,4,0.000737716
3294,chr12,306518,306523,6,0.000722041
489,chr1,18272,18275,4,0.000751187
5864,chr17,398970,398972,3,0.000712979
7492,chr2,65133,65138,6,0.000744574
4719,chr16,356160,356166,7,0.00065934
6783,chr19,428781,428787,7,0.000666933
11890,chr7,183247,183250,4,0.000771761
4165,chr14,335723,335724,2,0.000839605
4172,chr14,335870,335871,2,0.000843034
4753,chr16,357511,357512,2,0.000843034
3194,chr12,303909,303915,7,0.000686527
12900,chr8,216996,217001,6,0.00075731
14009,chrY,464742,464746,5,0.000798458
5314,chr17,379320,379327,8,0.000738696
7756,chr2,71092,71097,6,0.000764413
8390,chr22,445359,445362,4,0.000784987
2635,chr11,284881,284887,7,0.000691425
3812,chr14,325436,325443,8,0.000744819
13077,chr8,221274,221278,5,0.000812174
6509,chr19,420105,420111,7,0.000706856
1532,chr10,246095,246099,5,0.000819276
10944,chr6,145839,145843,5,0.000820011
13109,chr8,222122,222127,6,0.000780088
4255,chr15,339523,339529,7,0.000713224
10194,chr5,127791,127797,7,0.000714693
10996,chr6,147254,147259,6,0.00079209
2144,chr11,265694,265701,8,0.000760494
1161,chr1,40035,40042,8,0.000765393
9718,chr4,113791,113798,8,0.000775925
1269,chr1,43461,43465,5,0.000832013
41,chr1,1961,1964,4,0.00082442
22161,chr16,371360,371361,2,0.000892999
5070,chr16,369143,369150,8,0.000777639
7929,chr2,77036,77041,6,0.000796498
11621,chr6,172128,172132,5,0.00083985
10138,chr5,125672,125677,6,0.000808745
7347,chr2,60356,60362,7,0.000745799
4558,chr15,350503,350508,6,0.000817072
11614,chr6,171780,171784,5,0.000855525
22453,chr17,381821,381826,6,0.000819521
19687,chr13,312857,312862,6,0.000822705
10706,chr5,137999,138006,8,0.000807765
8040,chr20,433764,433771,8,0.000816092
10010,chr4,121525,121530,6,0.000829318
11404,chr6,166947,166951,5,0.000885896
3481,chr13,314892,314896,5,0.000900592
12509,chr7,203617,203619,3,0.000806785
13997,chrX,464143,464151,9,0.000758535
7641,chr2,67643,67648,6,0.000848668
15412,chr1,31588,31594,7,0.00080899
6871,chr19,430894,430897,4,0.00085675
73,chr1,3947,3953,7,0.000818052
30398,chr6,156300,156307,8,0.00085577
5972,chr18,402354,402359,6,0.000869486
4984,chr16,365668,365674,7,0.000825645
13175,chr8,224836,224838,3,0.000851117
6003,chr18,402927,402932,6,0.00088908
3708,chr13,320859,320863,5,0.000948352
9107,chr3,96017,96021,5,0.000950557
6540,chr19,420992,420994,3,0.000868751
5498,chr17,385616,385620,5,0.000964028
12658,chr8,210083,210086,4,0.000907695
8543,chr22,451597,451604,8,0.000896918
4077,chr14,332455,332460,6,0.000910634
7121,chr2,53027,53027,1,0.001385055
1712,chr10,252448,252454,7,0.000860179
10926,chr6,145115,145122,8,0.000917981
12019,chr7,186844,186849,6,0.000935126
11247,chr6,158975,158981,7,0.000876099
9617,chr4,111227,111231,5,0.001011543
5488,chr17,385391,385397,7,0.000885651
30372,chr6,155746,155748,3,0.00090696
12987,chr8,218603,218608,6,0.000965007
10857,chr5,142485,142490,6,0.000965252
12914,chr8,217205,217209,5,0.00105465
23102,chr17,400555,400557,3,0.000944678
3697,chr13,320590,320593,4,0.000953251
6487,chr19,419327,419333,7,0.000905
1118,chr1,39043,39043,1,0.001497476
1779,chr10,253619,253626,8,0.000973825
27807,chr4,104971,104975,5,0.001066651
7016,chr2,49263,49266,4,0.000965742
13320,chr9,229281,229284,4,0.000969416
9899,chr4,118728,118731,4,0.000976029
1522,chr10,245923,245924,2,0.001156049
11354,chr6,165092,165098,7,0.000914797
903,chr1,30404,30409,6,0.000996358
10280,chr5,129994,129999,6,0.000996848
7345,chr2,60312,60317,6,0.000998072
4268,chr15,339930,339935,6,0.001001746
4076,chr14,332298,332303,6,0.001009094
3957,chr14,328435,328439,5,0.00107204
9162,chr3,97308,97311,4,0.000991214
3357,chr12,309368,309372,5,0.001085511
9588,chr4,110649,110655,7,0.000925084
9788,chr4,115571,115576,6,0.001018891
4269,chr15,339954,339959,6,0.001029913
1057,chr1,36350,36354,5,0.001094328
689,chr1,23068,23073,6,0.001045833
12853,chr8,215530,215535,6,0.001050241
7344,chr2,60305,60310,6,0.001060773
4430,chr15,345948,345952,5,0.001109268
4175,chr14,336221,336224,4,0.001018646
28813,chr5,122765,122765,1,0.001605978
4521,chr15,349480,349481,2,0.001235895
4164,chr14,335711,335717,7,0.000985091
9326,chr4,103111,103112,2,0.001238589
10820,chr5,141347,141352,6,0.00108796
10466,chr5,134477,134479,3,0.00105416
9730,chr4,113957,113963,7,0.00100444
26,chr1,1359,1364,6,0.001120045
6510,chr19,420112,420117,6,0.001124454
13664,chrX,455247,455251,5,0.001147722
1939,chr10,257474,257477,4,0.001046323
2138,chr11,265512,265515,4,0.001065427
12536,chr7,204858,204860,3,0.00105612
5603,chr17,389320,389321,2,0.00131819
13787,chrX,459339,459345,7,0.00102183
1580,chr10,247826,247831,6,0.00115458
12349,chr7,196538,196538,1,0.001701744
2061,chr11,261805,261807,3,0.001088205
11691,chr6,174430,174434,5,0.001190829
575,chr1,20593,20594,2,0.001340478
16572,chr10,245724,245724,1,0.001742401
1914,chr10,256578,256581,4,0.001079143
4256,chr15,339531,339534,4,0.001079143
3746,chr13,321787,321790,4,0.001100206
1430,chr10,242533,242535,3,0.001130332
2303,chr11,269429,269432,4,0.001115881
4539,chr15,349898,349901,4,0.001133271
12052,chr7,187481,187485,5,0.001222669
8985,chr3,92494,92498,5,0.001235895
11982,chr7,186088,186092,5,0.001238589
25868,chr20,437929,437936,8,0.001120045
11142,chr6,152005,152011,7,0.001093838
4326,chr15,341592,341598,7,0.001101921
8702,chr3,81479,81484,6,0.001210178
3892,chr14,326675,326680,6,0.001216056
12940,chr8,217504,217509,6,0.001224139
2226,chr11,268103,268107,5,0.001282431
161,chr1,6878,6878,1,0.001844535
6618,chr19,424171,424171,1,0.001856047
25540,chr2,76605,76605,1,0.0018607
9147,chr3,97211,97215,5,0.001306923
13192,chr8,225420,225422,3,0.001169275
19618,chr12,310340,310342,3,0.001173929
13903,chrX,461610,461612,3,0.001179562
10102,chr5,124448,124450,3,0.001182746
7397,chr2,61661,61666,6,0.001240549
8598,chr3,78267,78270,4,0.001178337
2552,chr11,281608,281611,4,0.001178337
2285,chr11,269023,269026,4,0.00122071
5031,chr16,367100,367102,3,0.001235405
624,chr1,21660,21661,2,0.001455838
10468,chr5,134549,134554,6,0.001265776
4491,chr15,348307,348312,6,0.001266511
506,chr1,18513,18518,6,0.001273124
345,chr1,13822,13826,5,0.001328967
12788,chr8,213488,213492,5,0.001336804
15386,chr1,31381,31385,5,0.001344642
2232,chr11,268184,268186,3,0.001243733
6671,chr19,426161,426164,4,0.00126945
309,chr1,12365,12368,4,0.001275328
2748,chr11,288525,288528,4,0.001279002
5859,chr17,398788,398791,4,0.001279982
8564,chr22,452273,452274,2,0.001467595
12185,chr7,191297,191302,6,0.001290269
5020,chr16,366855,366860,6,0.001321619
12738,chr8,212079,212085,7,0.0012043
10748,chr5,138998,139002,5,0.001370114
6553,chr19,421272,421272,1,0.0020586
3152,chr12,302008,302014,7,0.001212627
30397,chr6,156293,156299,7,0.001230507
7246,chr2,56592,56598,7,0.001230752
11117,chr6,151114,151120,7,0.001247162
6703,chr19,427077,427081,5,0.001382116
1174,chr1,40487,40490,4,0.001299086
8067,chr20,433941,433943,3,0.001256469
6631,chr19,424407,424411,5,0.001404649
1913,chr10,256572,256576,5,0.001410527
7646,chr2,67669,67673,5,0.001411507
8039,chr20,433756,433760,5,0.001414691
7803,chr2,72601,72605,5,0.00141763
10487,chr5,135173,135177,5,0.001423263
9832,chr4,117191,117194,4,0.001308638
1462,chr10,244114,244120,7,0.001270674
6966,chr2,48010,48015,6,0.001371339
13782,chrX,459318,459322,5,0.001437224
3703,chr13,320738,320738,1,0.002354961
11576,chr6,170626,170632,7,0.001291738
21788,chr16,362087,362092,6,0.001386524
3633,chr13,319292,319297,6,0.001386524
13052,chr8,220732,220737,6,0.001396321
10957,chr6,146481,146485,5,0.00148327
11553,chr6,170224,170228,5,0.001489638
11537,chr6,169969,169973,5,0.001494781
11528,chr6,169928,169932,5,0.001496251
74,chr1,3955,3958,4,0.001339009
8903,chr3,89025,89028,4,0.001339499
2894,chr12,293852,293854,3,0.001280227
6295,chr19,413153,413154,2,0.001573158
6027,chr18,403178,403179,2,0.00159863
11179,chr6,152840,152840,1,0.002388025
9031,chr3,94173,94179,7,0.001301535
2983,chr12,297563,297567,5,0.001528336
21043,chr15,342687,342691,5,0.001528336
1533,chr10,246101,246105,5,0.001530296
11516,chr6,169822,169826,5,0.001546706
6905,chr2,45410,45413,4,0.001375258
2085,chr11,263189,263190,2,0.001627531
3072,chr12,299512,299517,6,0.001414936
10100,chr5,124437,124442,6,0.001419344
13762,chrX,458515,458519,5,0.001555768
3823,chr14,325798,325802,5,0.001560177
31036,chr6,170998,171002,5,0.001567279
4013,chr14,330062,330066,5,0.0016001
15246,chr1,27392,27396,5,0.0016001
8072,chr20,434170,434173,4,0.001379666
7945,chr2,77921,77922,2,0.001654963
10296,chr5,130317,130321,5,0.001607937
1401,chr10,242141,242145,5,0.00161602
7479,chr2,64251,64255,5,0.001622633
7919,chr2,76458,76461,4,0.001423508
4596,chr15,351632,351635,4,0.001440163
4635,chr15,351996,351999,4,0.00144996
12852,chr8,215492,215498,7,0.001332151
528,chr1,19009,19014,6,0.001443592
5589,chr17,389143,389148,6,0.00145094
6862,chr19,430782,430786,5,0.00166329
10084,chr5,124216,124220,5,0.001693416
1916,chr10,256610,256614,5,0.001694396
11238,chr6,158651,158654,4,0.001458288
7338,chr2,60069,60071,3,0.0013177
34048,chrX,454113,454113,1,0.002473505
9373,chr4,105476,105476,1,0.00248771
10526,chr5,136003,136008,6,0.001461472
12992,chr8,218766,218771,6,0.001484005
8700,chr3,81460,81465,6,0.001485229
10945,chr6,145870,145872,3,0.001346601
5443,chr17,384209,384213,5,0.001719623
10359,chr5,131395,131399,5,0.001737748
6848,chr19,430540,430542,3,0.001356154
10469,chr5,134661,134663,3,0.001356398
9140,chr3,97052,97053,2,0.001677986
1656,chr10,250781,250785,5,0.001754158
5933,chr18,401528,401532,5,0.001757097
9898,chr4,118712,118716,5,0.001760526
11629,chr6,172494,172498,5,0.001768363
1918,chr10,256650,256654,5,0.001821757
2248,chr11,268625,268628,4,0.001492822
6546,chr19,421094,421097,4,0.001500415
13078,chr8,221282,221288,7,0.001406363
1616,chr10,249478,249482,5,0.001826166
12562,chr7,205565,205568,4,0.001509967
7631,chr2,67587,67590,4,0.00151707
9411,chr4,105940,105943,4,0.001528581
8624,chr3,79055,79057,3,0.001416405
4110,chr14,333732,333734,3,0.00143453
13692,chrX,455725,455727,3,0.001435265
3531,chr13,316561,316563,3,0.001444082
21938,chr16,365841,365841,1,0.002739494
6083,chr18,404387,404392,6,0.001514131
7487,chr2,64757,64759,3,0.001547196
294,chr1,11774,11776,3,0.001551359
27111,chr3,90564,90565,2,0.001813675
22221,chr16,373307,373308,2,0.001827636
11316,chr6,163896,163901,6,0.001528581
32656,chr7,208295,208299,5,0.001852128
4166,chr14,335726,335730,5,0.001853353
30579,chr6,160723,160727,5,0.001854577
11330,chr6,164427,164431,5,0.001856292
13811,chrX,459659,459663,5,0.001867558
6850,chr19,430587,430591,5,0.001887152
11956,chr7,185635,185639,5,0.0019114
6438,chr19,418383,418387,5,0.00191238
3332,chr12,308329,308331,3,0.001622143
7411,chr2,62006,62007,2,0.001860945
3608,chr13,318846,318851,6,0.001545971
1110,chr1,38746,38751,6,0.001548175
4263,chr15,339769,339774,6,0.001565075
13794,chrX,459451,459455,5,0.001922177
9503,chr4,108540,108542,3,0.001636593
32358,chr7,201688,201690,3,0.001668189
11608,chr6,171731,171735,5,0.001949364
1940,chr10,257479,257481,3,0.001693171
11284,chr6,161840,161842,3,0.001739707
4259,chr15,339670,339672,3,0.001739707
12627,chr7,208094,208096,3,0.001742401
2173,chr11,266736,266738,3,0.001750239
11196,chr6,153338,153340,3,0.001752933
28802,chr5,122660,122662,3,0.00176175
30414,chr6,157449,157450,2,0.00194324
8223,chr20,439329,439334,6,0.001610386
7536,chr2,65809,65814,6,0.001611611
8440,chr22,447315,447319,5,0.001964059
2243,chr11,268453,268457,5,0.001969937
714,chr1,24022,24026,5,0.00197655
15082,chr1,23378,23382,5,0.001991001
4583,chr15,351053,351057,5,0.00200986
4423,chr15,345510,345514,5,0.002018678
7244,chr2,56527,56531,5,0.002030924
3696,chr13,320581,320585,5,0.002030924
1334,chr10,239759,239763,5,0.002044395
7198,chr2,55484,55488,5,0.00204513
11542,chr6,170022,170026,5,0.002046354
13032,chr8,219840,219844,5,0.002051498
11534,chr6,169956,169960,5,0.002053702
758,chr1,25477,25481,5,0.002060315
13812,chrX,459669,459673,5,0.002063989
12135,chr7,189629,189632,4,0.001571198
10143,chr5,125842,125845,4,0.001577811
6823,chr19,430122,430125,4,0.001598875
592,chr1,20966,20968,3,0.001785998
26354,chr22,452029,452031,3,0.001795795
7954,chr20,431500,431502,3,0.001829595
8898,chr3,88912,88914,3,0.001873926
2708,chr11,287288,287294,7,0.001560667
13086,chr8,221474,221479,6,0.001720358
14091,chr1,2434,2439,6,0.001749749
12193,chr7,191511,191516,6,0.001766404
8682,chr3,81022,81027,6,0.001783304
10829,chr5,141589,141594,6,0.001786488
23872,chr19,429168,429173,6,0.001849924
10673,chr5,137855,137859,5,0.002084318
6109,chr18,404899,404903,5,0.002122036
9684,chr4,113136,113140,5,0.002129139
6086,chr18,404506,404509,4,0.001638798
10057,chr5,123355,123358,4,0.001685824
12198,chr7,191722,191724,3,0.001897684
2003,chr10,259743,259744,2,0.001978755
9907,chr4,118979,118980,2,0.001981449
5914,chr18,401349,401350,2,0.002002023
3853,chr14,326157,326158,2,0.002008636
4497,chr15,348411,348412,2,0.002022841
4184,chr14,336351,336352,2,0.002030679
3502,chr13,315240,315241,2,0.002040966
21198,chr15,345603,345604,2,0.002070602
30150,chr6,149121,149122,2,0.002097789
27108,chr3,90517,90518,2,0.002111994
5188,chr17,374505,374506,2,0.002148978
9916,chr4,119111,119117,7,0.001569729
10828,chr5,141580,141584,5,0.002155591
9394,chr4,105758,105761,4,0.001724277
7823,chr2,73013,73016,4,0.001770323
1517,chr10,245841,245844,4,0.001787468
13691,chrX,455711,455714,4,0.001792121
9291,chr3,101525,101527,3,0.001951323
239,chr1,9657,9661,5,0.00215902
1312,chr1,44714,44718,5,0.002178614
925,chr1,31074,31078,5,0.002185472
10522,chr5,135953,135957,5,0.002199188
11242,chr6,158736,158740,5,0.002200657
10122,chr5,124974,124977,4,0.001810246
13036,chr8,220001,220004,4,0.001819308
11943,chr7,185331,185334,4,0.001824941
1139,chr1,39597,39600,4,0.001830085
3184,chr12,303483,303486,4,0.001856047
8617,chr3,78875,78878,4,0.001857272
13810,chrX,459652,459655,4,0.00189548
10449,chr5,134032,134035,4,0.001943485
2556,chr11,281718,281721,4,0.001944465
9156,chr3,97232,97235,4,0.001944955
8988,chr3,92609,92609,1,0.003415734
4767,chr16,358076,358076,1,0.003474516
8498,chr22,449747,449747,1,0.003512234
938,chr1,31740,31740,1,0.003545544
12166,chr7,190685,190685,1,0.003549953
8947,chr3,90765,90771,7,0.0015832
4389,chr15,343968,343974,7,0.001638063
5406,chr17,383397,383402,6,0.001920707
5916,chr18,401362,401367,6,0.001920952
11229,chr6,156865,156870,6,0.001947159
5277,chr17,377343,377347,5,0.002216822
3070,chr12,299492,299496,5,0.002224905
9446,chr4,107154,107157,4,0.001952058
3243,chr12,305785,305788,4,0.001953527
2621,chr11,284083,284085,3,0.002006676
6969,chr2,48025,48028,4,0.001979979
3732,chr13,321720,321723,4,0.002004717
4961,chr16,364835,364837,3,0.002056641
28415,chr4,115839,115839,1,0.003654536
8063,chr20,433903,433903,1,0.003754956
10844,chr5,142174,142174,1,0.003847538
2101,chr11,263717,263723,7,0.001716194
4559,chr15,350511,350517,7,0.001720113
12047,chr7,187447,187451,5,0.002246703
25403,chr2,73730,73734,5,0.002249153
3925,chr14,327151,327155,5,0.002259684
9900,chr4,118735,118739,5,0.002262379
10028,chr5,122048,122052,5,0.002268502
9195,chr3,98480,98484,5,0.002283197
6573,chr19,422145,422149,5,0.002290545
13940,chrX,462652,462656,5,0.002325325
12024,chr7,187052,187056,5,0.002337081
10664,chr5,137806,137810,5,0.002349817
12412,chr7,199995,199999,5,0.002355695
951,chr1,32782,32786,5,0.002362553
12281,chr7,194695,194699,5,0.002363043
13093,chr8,221666,221669,4,0.002028719
7860,chr2,74085,74087,3,0.002086767
4865,chr16,362918,362920,3,0.002097054
10597,chr5,137378,137380,3,0.002099993
12372,chr7,198087,198089,3,0.002134282
8639,chr3,79572,79574,3,0.002137711
4126,chr14,334078,334080,3,0.002145549
8549,chr22,451838,451840,3,0.002171266
3919,chr14,326816,326818,3,0.002173471
6007,chr18,402953,402955,3,0.002190126
13973,chrX,463193,463195,3,0.002207515
3631,chr13,319237,319239,3,0.00220972
9546,chr4,109748,109750,3,0.00224107
34179,chrX,458782,458784,3,0.002249887
9831,chr4,117187,117189,3,0.002268992
2049,chr11,261453,261455,3,0.002283197
2282,chr11,269002,269004,3,0.002283932
7400,chr2,61760,61762,3,0.002292504
2765,chr12,288940,288942,3,0.002305975
393,chr1,15285,15287,3,0.002311364
2871,chr12,292919,292921,3,0.002375779
445,chr1,16658,16660,3,0.002387536
4799,chr16,359208,359210,3,0.002396353
6664,chr19,425710,425712,3,0.002398802
31256,chr6,174899,174901,3,0.002413008
13471,chr9,233156,233158,3,0.002417661
9267,chr3,100821,100823,3,0.002466647
6029,chr18,403187,403189,3,0.002505835
8338,chr21,443196,443198,3,0.002528613
12665,chr8,210294,210295,2,0.002229069
12764,chr8,213039,213040,2,0.002242295
2920,chr12,294709,294710,2,0.002254541
12833,chr8,214902,214903,2,0.002280748
3566,chr13,317567,317568,2,0.00229177
30556,chr6,160001,160002,2,0.002328509
11488,chr6,169433,169434,2,0.002361084
23368,chr19,409359,409360,2,0.002375534
34393,chrX,463652,463652,1,0.004195822
24208,chr2,50934,50934,1,0.004288159
10717,chr5,138071,138075,5,0.002369656
13851,chrX,460446,460450,5,0.002370146
3491,chr13,315102,315106,5,0.002370636
30650,chr6,162260,162263,4,0.002054682
7736,chr2,70203,70206,4,0.002094605
11971,chr7,185964,185967,4,0.002099258
3525,chr13,316336,316339,4,0.00210881
6200,chr19,408831,408834,4,0.002112729
12934,chr8,217450,217453,4,0.002114199
5909,chr18,401291,401294,4,0.002192085
11364,chr6,165915,165918,4,0.002247928
2985,chr12,297591,297594,4,0.002269481
212,chr1,8735,8738,4,0.002280013
12998,chr8,218894,218897,4,0.002285402
9514,chr4,108895,108898,4,0.002297648
8082,chr20,434366,434369,4,0.002298138
8184,chr20,437955,437958,4,0.002298383
8100,chr20,435181,435184,4,0.002310139
