,Unnamed: 0,chr,start,end,n,p.value
113,114,chr6,155833,155833,1,0.25250977
114,115,chr6,155835,155835,1,0.9023901190000001
115,116,chr6,155837,155837,1,0.747925842
116,117,chr8,209054,209054,1,0.000540971
117,118,chr8,209052,209053,2,0.00573585
118,119,chr8,209057,209057,1,0.0017325589999999998
119,120,chr8,209056,209056,1,0.009355265
120,121,chr8,209055,209055,1,0.016389244
121,122,chr10,242139,242141,3,0.00202803
122,123,chr10,242138,242138,1,0.04425236900000001
123,124,chr10,242142,242143,2,0.005621085
124,125,chr10,242144,242144,1,0.042361305999999994
125,126,chr12,303434,303439,6,0.0013816
126,127,chr12,303668,303671,4,0.029572402
127,128,chr12,303672,303674,3,0.041941326
128,129,chr17,382832,382838,7,0.001665929
129,130,chr19,427078,427078,1,0.01104609
130,131,chr19,427076,427077,2,0.018106953000000002
131,132,chr19,427080,427080,1,0.018724501
132,133,chr19,427079,427079,1,0.042931199
133,134,chr19,427081,427081,1,0.044900987999999996
134,135,chr19,429628,429628,1,0.0059766080000000004
135,136,chr19,429627,429627,1,0.009877344
136,137,chr19,429626,429626,1,0.01898909
137,138,chr19,429625,429625,1,0.039199812
138,139,chr19,429631,429631,1,0.012163543
139,140,chr19,429630,429630,1,0.087169871
140,141,chr19,429629,429629,1,0.212759305
141,142,chr19,429632,429632,1,0.021750547000000002
142,143,chr20,432306,432310,5,0.001173343
143,144,chr20,432305,432305,1,0.043363698
144,145,chr22,447604,447605,2,0.006157289
145,146,chr22,447601,447602,2,0.008567489000000001
146,147,chr22,447603,447603,1,0.025483022
147,148,chr22,447606,447607,2,0.032191352
148,149,chr3,99194,99194,1,0.011442886000000001
149,150,chr3,99193,99193,1,0.036131775
150,151,chr3,99196,99197,2,0.02193633
151,152,chr3,99195,99195,1,0.038144375
152,153,chr3,99198,99198,1,0.04293885099999999
153,154,chr5,132749,132750,2,0.00010175700000000001
154,155,chr5,132747,132747,1,0.00013965899999999999
155,156,chr5,132745,132746,2,0.000362523
156,157,chr5,132748,132748,1,0.003952893
157,158,chr6,152413,152415,3,0.015422595
158,159,chr6,152390,152392,3,0.018671009
159,160,chr6,152407,152408,2,0.041677252000000005
160,161,chr6,152401,152402,2,0.046011499000000004
161,162,chr6,152398,152399,2,0.09736150800000001
162,163,chr6,152396,152396,1,0.339738817
163,164,chr6,152394,152394,1,0.674353986
164,165,chr6,152393,152393,1,0.889588102
165,166,chr6,152395,152395,1,0.86738893
166,167,chr6,152397,152397,1,0.41796927100000003
167,168,chr6,152400,152400,1,0.339071832
168,169,chr6,152405,152406,2,0.19489226399999998
169,170,chr6,152404,152404,1,0.47357718200000004
170,171,chr6,152403,152403,1,0.984684563
171,172,chr6,152411,152411,1,0.128126287
172,173,chr6,152410,152410,1,0.333356565
173,174,chr6,152409,152409,1,0.694798928
174,175,chr6,152412,152412,1,0.285624908
175,176,chr13,322041,322046,6,0.0016859960000000002
176,177,chr17,377680,377681,2,0.014729718999999999
177,178,chr17,377677,377678,2,0.02298106
178,179,chr17,377679,377679,1,0.102222779
179,180,chr17,377682,377682,1,0.023427899
180,181,chr17,381340,381340,1,0.008674759
181,182,chr17,381344,381344,1,0.010410353
182,183,chr17,381341,381342,2,0.026000276
183,184,chr17,381343,381343,1,0.06781123
184,185,chr17,381345,381346,2,0.047039381
185,186,chr17,382162,382165,4,0.019008276
186,187,chr17,382159,382160,2,0.022825977
187,188,chr17,382161,382161,1,0.288347652
188,189,chr17,389239,389240,2,0.015422051
189,190,chr17,389237,389238,2,0.03062566
190,191,chr17,389241,389241,1,0.037369004
191,192,chr17,390464,390465,2,0.002295508
192,193,chr17,390468,390468,1,0.009640284
193,194,chr17,390467,390467,1,0.062301407
194,195,chr17,390466,390466,1,0.56462179
195,196,chr17,390470,390471,2,0.016213307
196,197,chr17,390469,390469,1,0.21702275399999998
197,198,chr6,149973,149976,4,0.002130923
198,199,chr6,149972,149972,1,0.018449953999999998
199,200,chr6,149979,149980,2,0.008686498
200,201,chr6,149977,149978,2,0.901783379
201,202,chr6,155817,155817,1,0.006740563000000001
202,203,chr6,155816,155816,1,0.027881603999999997
203,204,chr6,155820,155821,2,0.02244763
204,205,chr6,155818,155818,1,0.073873628
205,206,chr6,155819,155819,1,0.169522468
206,207,chr6,155823,155823,1,0.022998627
207,208,chr6,155822,155822,1,0.6539293829999999
208,209,chr6,157216,157219,4,0.009688356
209,210,chr6,157209,157210,2,0.014936801999999999
210,211,chr6,157211,157211,1,0.491326937
211,212,chr6,157212,157213,2,0.544241479
212,213,chr6,157215,157215,1,0.861425715
213,214,chr6,157214,157214,1,0.991922713
214,215,chr6,158483,158484,2,0.001392241
215,216,chr6,158494,158499,6,0.025604616
216,217,chr6,158487,158487,1,0.049288739000000005
217,218,chr6,158485,158485,1,0.063444188
218,219,chr6,158486,158486,1,0.532924508
219,220,chr6,158490,158492,3,0.117633158
220,221,chr6,158488,158489,2,0.374030591
221,222,chr6,158493,158493,1,0.5769042289999999
222,223,chr6,159879,159880,2,0.0076905509999999995
223,224,chr6,159877,159877,1,0.023468022
224,225,chr6,159878,159878,1,0.319137618
225,226,chr6,159882,159882,1,0.020378873
226,227,chr6,159881,159881,1,0.11609530900000001
227,228,chr6,159883,159883,1,0.045494038
228,229,chr6,161890,161890,1,9.03e-07
229,230,chr6,161886,161886,1,0.034378086
230,231,chr6,161889,161889,1,0.082460723
231,232,chr6,161887,161887,1,0.09411313800000001
232,233,chr6,161888,161888,1,0.174074641
233,234,chr6,161892,161892,1,0.005328923
234,235,chr6,161891,161891,1,0.016099914
235,236,chr6,161893,161893,1,0.014887876000000001
236,237,chr7,181249,181250,2,0.010781028
237,238,chr7,181248,181248,1,0.041348355
238,239,chr7,181251,181252,2,0.018797648
239,240,chr7,204352,204352,1,0.014465953
240,241,chr7,204349,204349,1,0.019179329
241,242,chr7,204348,204348,1,0.03043824
242,243,chr7,204350,204351,2,0.024711318
243,244,chr8,223554,223556,3,0.0072898519999999994
244,245,chr8,223552,223552,1,0.03674437
245,246,chr8,223553,223553,1,0.121633806
246,247,chr8,223558,223558,1,0.02121982
247,248,chr8,223557,223557,1,0.073682777
248,249,chr17,382261,382261,1,0.003081799
249,250,chr17,382257,382257,1,0.004123114000000001
250,251,chr17,382259,382260,2,0.005837524
251,252,chr17,382258,382258,1,0.014148191999999999
252,253,chr17,395911,395911,1,0.012118317
253,254,chr17,395909,395909,1,0.037742964
254,255,chr17,395910,395910,1,0.075278364
255,256,chr17,395912,395914,3,0.027541074
256,257,chr19,429299,429302,4,0.0036902999999999997
257,258,chr19,429298,429298,1,0.023276592999999998
258,259,chr19,430543,430543,1,0.002629013
259,260,chr19,430541,430541,1,0.007154008000000001
260,261,chr19,430540,430540,1,0.042629585
261,262,chr19,430542,430542,1,0.067249728
262,263,chr19,430545,430546,2,0.005789312
263,264,chr19,430544,430544,1,0.44982211
264,265,chr2,57129,57134,6,0.011039668
265,266,chr20,435180,435180,1,0.001473643
266,267,chr20,435181,435181,1,0.014439433
267,268,chr20,435184,435184,1,0.01525587
268,269,chr20,435182,435183,2,0.025198414
269,270,chr3,81625,81625,1,0.015300401000000002
270,271,chr3,81623,81624,2,0.027683238
271,272,chr3,81633,81633,1,0.022437327000000003
272,273,chr3,81626,81626,1,0.031905527999999996
273,274,chr3,81627,81627,1,0.106007415
274,275,chr3,81628,81632,5,0.44200805
275,276,chr3,85818,85820,3,0.008545777
276,277,chr3,85816,85816,1,0.010991137
277,278,chr3,85817,85817,1,0.033020928
278,279,chr3,85823,85823,1,0.046367867
279,280,chr3,85821,85821,1,0.22383726399999998
280,281,chr3,85822,85822,1,0.620784849
281,282,chr3,91596,91597,2,0.0052884640000000005
282,283,chr3,91594,91595,2,0.014039198000000001
283,284,chr3,91598,91598,1,0.018935902
284,285,chr5,130697,130697,1,0.0013339860000000001
285,286,chr5,130693,130696,4,0.022357299
286,287,chr5,130698,130698,1,0.022535857000000003
287,288,chr5,137748,137753,6,0.006660114
288,289,chr5,141710,141712,3,0.005949813000000001
289,290,chr5,141708,141709,2,0.017270078
290,291,chr6,156867,156867,1,0.019561328
291,292,chr6,156866,156866,1,0.035443951
292,293,chr6,156864,156865,2,0.048532405
293,294,chr6,156873,156873,1,0.024490121
294,295,chr6,156868,156869,2,0.044383839
295,296,chr6,156872,156872,1,0.082454574
296,297,chr6,156870,156870,1,0.12575436199999998
297,298,chr6,156871,156871,1,0.164926347
298,299,chr6,163613,163616,4,0.002181442
299,300,chr6,163612,163612,1,0.039682414
300,301,chr6,165088,165094,7,0.0031296379999999997
301,302,chr6,165096,165096,1,0.040478212
302,303,chr6,165095,165095,1,0.181039736
303,304,chr6,179630,179630,1,0.000725772
304,305,chr6,179629,179629,1,0.002649527
305,306,chr6,179627,179628,2,0.014486263999999999
306,307,chr6,179631,179631,1,0.004112368
307,308,chr7,195915,195915,1,0.026970746
308,309,chr7,195912,195912,1,0.031404981
309,310,chr7,195909,195909,1,0.035542306
310,311,chr7,195910,195911,2,0.050727462
311,312,chr7,195913,195914,2,0.039588389
312,313,chr8,223955,223958,4,0.005804893
313,314,chr8,223960,223960,1,0.040063612
314,315,chr8,223959,223959,1,0.135050215
315,316,chr1,323,323,1,0.0029282170000000003
316,317,chr1,324,324,1,0.012443572
317,318,chr1,326,326,1,0.01683454
318,319,chr1,325,325,1,0.037704657999999995
319,320,chr1,16886,16886,1,0.009136063
320,321,chr1,16883,16883,1,0.013495547
321,322,chr1,16884,16885,2,0.049505447
322,323,chr1,16887,16887,1,0.024024722999999998
323,324,chr1,19658,19658,1,0.007427885
324,325,chr1,19656,19656,1,0.042006304
325,326,chr1,19657,19657,1,0.21241195899999998
326,327,chr1,19660,19661,2,0.017834196
327,328,chr1,19659,19659,1,0.598411128
328,329,chr1,42168,42169,2,0.012477165
329,330,chr1,42165,42165,1,0.025900094
330,331,chr1,42166,42167,2,0.03896851
331,332,chr11,281769,281772,4,0.00010737799999999999
332,333,chr12,298162,298163,2,0.00029396099999999997
333,334,chr12,298164,298164,1,0.006401723000000001
334,335,chr12,298165,298165,1,0.033486751
335,336,chr12,299195,299195,1,0.015056496
336,337,chr12,299192,299192,1,0.023428813
337,338,chr12,299190,299190,1,0.036991859
338,339,chr12,299191,299191,1,0.157324258
339,340,chr12,299193,299193,1,0.044879327999999996
340,341,chr12,299194,299194,1,0.06805568
341,342,chr12,309968,309969,2,0.00041962
342,343,chr12,309962,309962,1,0.002707399
343,344,chr12,309963,309965,3,0.018916685
344,345,chr12,309966,309966,1,0.728160734
345,346,chr12,309967,309967,1,0.845416057
346,347,chr15,338410,338413,4,0.006779115
347,348,chr15,341186,341189,4,0.000317096
348,349,chr16,365188,365189,2,0.023148677000000003
349,350,chr16,365185,365185,1,0.034554299
350,351,chr16,365187,365187,1,0.048335188
351,352,chr16,365186,365186,1,0.060325456
352,353,chr17,379261,379262,2,0.007501626
353,354,chr17,379260,379260,1,0.05000161
354,355,chr17,379263,379263,1,0.032829923999999996
355,356,chr17,380195,380196,2,0.021097663
356,357,chr17,380198,380198,1,0.026362073
357,358,chr17,380197,380197,1,0.046531721
358,359,chr17,382823,382826,4,0.001798556
359,360,chr17,385091,385092,2,0.0048719290000000005
360,361,chr17,385094,385094,1,0.015586975
361,362,chr17,385093,385093,1,0.12386086
362,363,chr17,385104,385104,1,0.041742081
363,364,chr17,385097,385097,1,0.72363206
364,365,chr17,385095,385095,1,0.78268246
365,366,chr17,385096,385096,1,0.899318705
366,367,chr17,385102,385102,1,0.7836919379999999
367,368,chr17,385098,385098,1,0.886536793
368,369,chr17,385101,385101,1,0.892553058
369,370,chr17,385100,385100,1,0.9345928040000001
370,371,chr17,385099,385099,1,0.960958587
371,372,chr17,385103,385103,1,0.987564172
372,373,chr17,387478,387479,2,0.001193105
373,374,chr17,387477,387477,1,0.018605026
374,375,chr17,387480,387480,1,0.023593635
375,376,chr19,416730,416731,2,0.012426965
376,377,chr19,416734,416735,2,0.018572517
377,378,chr19,416732,416732,1,0.09411500800000001
378,379,chr19,416733,416733,1,0.141089118
379,380,chr19,418279,418279,1,8.190000000000001e-05
380,381,chr19,418278,418278,1,0.011208476
381,382,chr19,418280,418280,1,0.002895785
382,383,chr19,418281,418281,1,0.039935911
383,384,chr19,418333,418335,3,0.03386219
384,385,chr19,418331,418331,1,0.039499897
385,386,chr19,418332,418332,1,0.063182828
386,387,chr19,422814,422814,1,0.00160311
387,388,chr19,422812,422812,1,0.008359825
388,389,chr19,422811,422811,1,0.042512439000000006
389,390,chr19,422813,422813,1,0.02848673
390,391,chr19,423917,423917,1,0.002512322
391,392,chr19,423916,423916,1,0.007982672
392,393,chr19,423915,423915,1,0.044590634000000004
393,394,chr19,423918,423918,1,0.019571658999999998
394,395,chr19,427403,427406,4,0.0015840770000000001
395,396,chr2,45243,45243,1,0.00017988299999999999
396,397,chr2,45242,45242,1,0.046961771
397,398,chr2,45246,45246,1,0.002141922
398,399,chr2,45244,45244,1,0.006578979
399,400,chr2,45245,45245,1,0.09892006199999999
400,401,chr2,49961,49962,2,0.003104523
401,402,chr2,49966,49968,3,0.009320474
402,403,chr2,49964,49965,2,0.07420908
403,404,chr2,49963,49963,1,0.129473392
404,405,chr2,75885,75886,2,0.0049135279999999995
405,406,chr2,75884,75884,1,0.026546872000000003
406,407,chr2,75888,75888,1,0.025338582999999998
407,408,chr2,75887,75887,1,0.43683343799999996
408,409,chr22,452448,452449,2,0.003261655
409,410,chr22,452447,452447,1,0.046283103
410,411,chr22,452450,452450,1,0.047723830999999994
411,412,chr3,96505,96508,4,0.0039201570000000005
412,413,chr4,118520,118521,2,0.016935858999999998
413,414,chr4,118517,118518,2,0.03554415
414,415,chr4,118519,118519,1,0.08625033800000001
415,416,chr5,122122,122122,1,0.001161198
416,417,chr5,122117,122117,1,0.004659483
417,418,chr5,122120,122120,1,0.005942851
418,419,chr5,122119,122119,1,0.015828657
419,420,chr5,122118,122118,1,0.10583363400000001
420,421,chr5,122121,122121,1,0.06861262
421,422,chr5,122243,122246,4,0.0026313129999999997
422,423,chr6,152086,152089,4,0.014393992
423,424,chr6,152110,152111,2,0.012062943000000001
424,425,chr6,152112,152115,4,0.025792406
425,426,chr6,155429,155431,3,0.000953132
426,427,chr6,155432,155432,1,0.033306671
427,428,chr6,171805,171806,2,0.0027023340000000002
428,429,chr6,171807,171807,1,0.031879664
429,430,chr6,171811,171811,1,0.048306036
430,431,chr6,171810,171810,1,0.076779054
431,432,chr6,171809,171809,1,0.140377194
432,433,chr6,171808,171808,1,0.518533602
433,434,chr7,192377,192380,4,0.004768651
434,435,chr7,207799,207803,5,0.0007600539999999999
435,436,chr7,207797,207797,1,0.002136739
436,437,chr7,207798,207798,1,0.9449851159999999
437,438,chr8,216755,216755,1,0.005493368
438,439,chr8,216752,216752,1,0.029543781
439,440,chr8,216754,216754,1,0.033225447000000005
440,441,chr8,216753,216753,1,0.117592691
441,442,chr8,216756,216756,1,0.026079606
442,443,chr8,223517,223519,3,0.019426981
443,444,chr8,223520,223521,2,0.043027823
444,445,chr9,229560,229560,1,0.0016346870000000001
445,446,chr9,229563,229563,1,0.002479534
446,447,chr9,229562,229562,1,0.049575728
447,448,chr9,229561,229561,1,0.22095996699999998
448,449,chr9,229564,229564,1,0.009448712
449,450,chrX,457395,457400,6,4.84e-05
450,451,chr1,4761,4762,2,0.008042037
451,452,chr1,4763,4764,2,0.041022243
452,453,chr1,22576,22576,1,0.001647619
453,454,chr1,22575,22575,1,0.009316289
454,455,chr1,22574,22574,1,0.043638552000000004
455,456,chr1,22577,22577,1,0.005568565
456,457,chr1,24470,24470,1,0.00153559
457,458,chr1,24471,24472,2,0.002069196
458,459,chr1,24473,24473,1,0.00507885
459,460,chr1,28437,28437,1,0.003830838
460,461,chr1,28436,28436,1,0.00632298
461,462,chr1,28435,28435,1,0.017621766
462,463,chr1,28433,28433,1,0.029359312999999998
463,464,chr1,28434,28434,1,0.145529851
464,465,chr1,41341,41341,1,1.96e-06
465,466,chr1,41338,41340,3,1.28e-05
466,467,chr10,238656,238658,3,0.011230232
467,468,chr10,238659,238659,1,0.034885826
468,469,chr10,239397,239398,2,0.011296936
469,470,chr10,239394,239394,1,0.016436575
470,471,chr10,239396,239396,1,0.023854552
471,472,chr10,239395,239395,1,0.832411626
472,473,chr10,245443,245444,2,0.01131458
473,474,chr10,245441,245442,2,0.018992486
474,475,chr10,246449,246449,1,0.00020606900000000002
475,476,chr10,246445,246448,4,0.00537169
476,477,chr10,246450,246450,1,0.011750911999999999
477,478,chr10,247436,247436,1,0.000306054
478,479,chr10,247434,247435,2,0.032470807000000004
479,480,chr10,247437,247438,2,0.027176528
480,481,chr11,270136,270136,1,0.011691672
481,482,chr11,270139,270140,2,0.027179903999999998
482,483,chr11,270137,270137,1,0.285163726
483,484,chr11,270138,270138,1,0.9054635
484,485,chr11,270142,270142,1,0.047956612
485,486,chr11,270141,270141,1,0.11513114
486,487,chr12,297557,297557,1,0.016701211
487,488,chr12,297555,297555,1,0.022571492000000002
488,489,chr12,297552,297552,1,0.023733529
489,490,chr12,297553,297553,1,0.082651345
490,491,chr12,297554,297554,1,0.668678396
491,492,chr12,297556,297556,1,0.093442991
492,493,chr12,297558,297558,1,0.048666332
493,494,chr15,345445,345445,1,0.010177118
494,495,chr15,345443,345444,2,0.014753505
495,496,chr15,345446,345446,1,0.016386049
496,497,chr17,381989,381989,1,3.73e-05
497,498,chr17,381988,381988,1,0.025163478
498,499,chr17,381990,381991,2,0.001867819
499,500,chr17,382929,382936,8,0.027535012999999997
500,501,chr17,389228,389229,2,0.013005905
501,502,chr17,389227,389227,1,0.031069867
502,503,chr17,389230,389230,1,0.027219162999999998
503,504,chr17,395043,395044,2,0.014181956
504,505,chr17,395041,395041,1,0.024005101
505,506,chr17,395038,395038,1,0.030838686
506,507,chr17,395039,395040,2,0.153780257
507,508,chr17,395042,395042,1,0.144684323
508,509,chr17,395518,395519,2,0.016598729
509,510,chr17,395516,395517,2,0.02679355
510,511,chr19,414339,414341,3,0.005740174000000001
511,512,chr19,414344,414344,1,0.013223199
512,513,chr19,414343,414343,1,0.457887858
513,514,chr19,414342,414342,1,0.615732875
514,515,chr19,418416,418416,1,0.001890296
515,516,chr19,418417,418417,1,0.009305545
516,517,chr19,418418,418419,2,0.024062606
517,518,chr19,427212,427213,2,0.008030519
518,519,chr19,427211,427211,1,0.043739617
519,520,chr19,427215,427215,1,0.014018263999999999
520,521,chr19,427214,427214,1,0.22425442
521,522,chr2,63156,63156,1,1.08e-10
522,523,chr2,63157,63157,1,4.66e-06
523,524,chr2,63158,63159,2,4.36e-05
524,525,chr2,66049,66051,3,0.003988565
525,526,chr2,66048,66048,1,0.05066737599999999
526,527,chr20,438582,438582,1,0.015621355
527,528,chr20,438579,438581,3,0.029855479
528,529,chr3,83629,83629,1,0.014327194
529,530,chr3,83627,83628,2,0.027548929
530,531,chr3,83631,83631,1,0.051149452000000005
531,532,chr3,83630,83630,1,0.082175369
532,533,chr3,91892,91892,1,0.006250524
533,534,chr3,91888,91891,4,0.020110503999999998
534,535,chr3,91893,91893,1,0.039007161
535,536,chr3,101590,101590,1,0.007970267
536,537,chr3,101588,101589,2,0.016026313
537,538,chr3,101591,101591,1,0.026118981
538,539,chr5,128200,128201,2,0.001308712
539,540,chr5,128197,128198,2,0.015923382
540,541,chr5,128199,128199,1,0.060977725
541,542,chr6,147927,147930,4,0.0005771390000000001
542,543,chr6,159050,159050,1,0.007172634000000001
543,544,chr6,159040,159041,2,0.024439887
544,545,chr6,159043,159043,1,0.12077806199999999
545,546,chr6,159042,159042,1,0.249534345
546,547,chr6,159045,159045,1,0.165150851
547,548,chr6,159044,159044,1,0.328314486
548,549,chr6,159048,159048,1,0.178671616
549,550,chr6,159047,159047,1,0.317036157
550,551,chr6,159046,159046,1,0.53825246
551,552,chr6,159049,159049,1,0.477269295
552,553,chr6,159051,159051,1,0.019188527
553,554,chr6,177567,177569,3,0.0044363829999999995
554,555,chr6,177565,177565,1,0.015947024
555,556,chr6,177566,177566,1,0.030775248999999998
556,557,chr7,180973,180974,2,0.003904607
557,558,chr7,180971,180971,1,0.009752753000000001
558,559,chr7,180972,180972,1,0.040076613999999997
559,560,chr7,201099,201102,4,0.000662255
560,561,chr8,210085,210085,1,0.00119538
561,562,chr8,210083,210084,2,0.0036707259999999996
562,563,chr8,210086,210086,1,0.002284113
563,564,chr8,211428,211431,4,0.001228995
564,565,chr8,217461,217462,2,0.003350749
565,566,chr8,217464,217464,1,0.021599262
566,567,chr8,217463,217463,1,0.051494955
567,568,chr8,219430,219430,1,0.0072842819999999996
568,569,chr8,219432,219434,3,0.00988492
569,570,chr8,219431,219431,1,0.195719628
570,571,chr1,239,239,1,0.00457339
571,572,chr1,238,238,1,0.014520255
572,573,chr1,240,240,1,0.010948402
573,574,chr1,1616,1618,3,0.006008271999999999
574,575,chr1,1647,1649,3,0.011566638
575,576,chr1,3039,3039,1,0.0022368329999999997
576,577,chr1,3037,3037,1,0.006391978
577,578,chr1,3038,3038,1,0.027835495
578,579,chr1,3088,3089,2,0.019429878
579,580,chr1,3091,3091,1,0.033116324
580,581,chr1,3090,3090,1,0.49614844399999997
581,582,chr1,4230,4230,1,0.000912391
582,583,chr1,4227,4227,1,0.017982456
583,584,chr1,4229,4229,1,0.020240282
584,585,chr1,4228,4228,1,0.100864339
585,586,chr1,9514,9514,1,0.002298577
586,587,chr1,9513,9513,1,0.013459988
587,588,chr1,9515,9515,1,0.0061513919999999995
588,589,chr1,13556,13556,1,0.002640783
589,590,chr1,13557,13557,1,0.009172858
590,591,chr1,13559,13559,1,0.020219631000000002
591,592,chr1,13558,13558,1,0.516104746
592,593,chr1,16662,16663,2,1.3000000000000001e-05
593,594,chr1,16661,16661,1,0.029545931
594,595,chr1,26223,26226,4,0.008314004
595,596,chr1,28513,28514,2,0.003280765
596,597,chr1,28512,28512,1,0.024914752999999998
597,598,chr1,32961,32961,1,0.010039291
598,599,chr1,32959,32959,1,0.034295876
599,600,chr1,32960,32960,1,0.07920949099999999
600,601,chr1,32962,32962,1,0.027501067999999997
601,602,chr1,36962,36963,2,0.0013579229999999998
602,603,chr1,36964,36964,1,0.008616422
603,604,chr1,41512,41514,3,0.024040324
604,605,chr1,41836,41837,2,0.024549696
605,606,chr1,41838,41838,1,0.051220732000000005
606,607,chr1,44186,44186,1,0.013988934
607,608,chr1,44185,44185,1,0.048652615999999996
608,609,chr1,44187,44187,1,0.021963694
609,610,chr1,44776,44778,3,0.007552593000000001
