"","chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"425","chr12",68845869,68845869,-0.0667621973259217,0.0667621973259217,45469,300652,300652,1,1,0.0266261393722096,1,0.103554157426313,1
"70","chr14",106183770,106183770,0.0666308437525273,0.0666308437525273,61547,338161,338161,1,1,0.0268654930196661,1,0.103997205912524,1
"642","chr2",11888753,11888753,-0.0653263427395663,0.0653263427395663,99574,47872,47872,1,1,0.0294253558553718,1,0.108334391699802,1
"122","chr2",88927196,88927196,0.0649122417512638,0.0649122417512638,104250,57943,57943,1,11,0.0302997293838353,1,0.10963593821745,1
"240","chr1",19110978,19111089,-0.0322711570770966,0.0645423141541932,3812,9324,9325,2,4,0.0840964155570101,1,0.110802420891177,1
"178","chr6",29911542,29911542,0.0638397840511855,0.0638397840511855,155678,152813,152813,1,27,0.0327125606932463,1,0.112837659609805,1
"1077","chrX",71363939,71363972,-0.0318949110764015,0.0637898221528031,193127,458783,458784,2,7,0.0848557527916451,1,0.11298176027511,1
"322","chr10",13972210,13972210,-0.0634102562678007,0.0634102562678007,20676,241182,241182,1,1,0.0337188229662267,1,0.113990220693832,1
"612","chr19",17972376,17972675,-0.0316620928035266,0.0633241856070531,93176,417042,417043,2,4,0.0851551890893815,1,0.114214187321095,1
"98","chr17",17644344,17644344,0.0622899834062666,0.0622899834062666,79255,380396,380396,1,1,0.0367068357447806,1,0.116786994792837,1
"859","chr5",175956344,175956344,-0.0620387100541895,0.0620387100541895,151973,142816,142816,1,10,0.0374234312566555,1,0.117402231362166,1
"736","chr3",39821326,39821326,-0.0619021925360299,0.0619021925360299,124626,82770,82770,1,2,0.037821295635948,1,0.117741234283258,1
"22","chr1",228756789,228756789,0.0616792815969075,0.0616792815969075,17803,41842,41842,1,3,0.0384726794908117,1,0.118304692308444,1
"1017","chr8",2122339,2122339,-0.0613144628735035,0.0613144628735035,177037,210105,210105,1,2,0.0395739505075274,1,0.119243544778671,1
"521","chr16",513010,513010,-0.0611816295181797,0.0611816295181797,68420,353354,353354,1,1,0.0399859807149347,1,0.119598178958372,1
"158","chr4",191014397,191014397,0.061104515809131,0.061104515809131,142545,121816,121816,1,1,0.0402272882697174,1,0.119804316181284,1
"131","chr20",13200929,13200929,0.0607130568311926,0.0607130568311926,114373,433101,433101,1,35,0.041508562998857,1,0.120916089449877,1
"1003","chr7",155151427,155151427,-0.0601542270905274,0.0601542270905274,175491,205802,205802,1,5,0.04341582078762,1,0.122560790941686,1
"123","chr2",91758369,91758369,0.0595509602466741,0.0595509602466741,104282,58023,58023,1,1,0.0455880772574957,1,0.1244177356168,1
"719","chr21",43198627,43198627,-0.0586274188065889,0.0586274188065889,118188,443377,443377,1,6,0.0492423724342754,1,0.127536904424623,1
"136","chr21",39039777,39039777,0.0583088127864078,0.0583088127864078,117994,442918,442918,1,4,0.0505546654422181,1,0.128663576236579,1
"591","chr17",78865087,78865087,-0.0581756205473662,0.0581756205473662,86200,398050,398050,1,9,0.0511484090309597,1,0.129171592141385,1
"1068","chr9",141042435,141042435,-0.0574876285820194,0.0574876285820194,191218,237826,237826,1,2,0.0542463290966109,1,0.131840141072109,1
"42","chr11",8190837,8190837,0.057368383709291,0.057368383709291,30765,265892,265892,1,10,0.0548066120223918,1,0.132324221612169,1
"411","chr12",25104798,25104798,-0.0570248329435237,0.0570248329435237,42427,293177,293177,1,1,0.0564688986801356,1,0.133760343496908,1
"613","chr19",21767566,21767566,-0.0563148110537347,0.0563148110537347,93655,418415,418415,1,1,0.0601036547836536,1,0.136888304887699,1
"526","chr16",4042428,4042428,-0.0561413200309542,0.0561413200309542,69777,357491,357491,1,1,0.0610622905655585,1,0.137720180931818,1
"412","chr12",25454990,25454990,-0.0561272378363792,0.0561272378363792,42451,293248,293248,1,1,0.061139958381774,1,0.137789544641898,1
"632","chr19",55582635,55582635,-0.0560859309855076,0.0560859309855076,97629,429278,429278,1,1,0.0613746714993308,1,0.137995437626393,1
"248","chr1",31256028,31256028,-0.0551977008979551,0.0551977008979551,5407,13225,13225,1,1,0.066562051211911,1,0.142459383151457,1
"713","chr20",62573077,62573077,-0.0551786399987701,0.0551786399987701,117242,441025,441025,1,6,0.0666775759825712,1,0.142555368848856,1
"519","chr16",419975,419975,-0.0549097331883525,0.0549097331883525,68392,353260,353260,1,11,0.0683347336335838,1,0.143986361726863,1
"6","chr1",78957203,78957203,0.0542842350548473,0.0542842350548473,9182,21985,21985,1,10,0.0724867867017067,1,0.147574712531385,1
"32","chr10",134720057,134720057,0.0541585694559723,0.0541585694559723,28904,259958,259958,1,7,0.0733428423489874,1,0.148311335593353,1
"1081","chrX",117484304,117484304,-0.0538766366257848,0.0538766366257848,193867,460985,460985,1,1,0.0753038325892203,1,0.149992917085943,1
"598","chr17",80735406,80735406,-0.053603850271119,0.053603850271119,86897,400383,400383,1,6,0.077268242167274,1,0.151700143612188,1
"494","chr15",33384751,33384751,-0.053039241835286,0.053039241835286,62572,340397,340397,1,1,0.0815304467609101,1,0.155373489385398,1
"157","chr4",187884368,187884368,0.0526052641779811,0.0526052641779811,142332,121422,121422,1,2,0.0850022958411083,1,0.158361013687121,1
"942","chr6",152012887,152012887,-0.0525838408557179,0.0525838408557179,162544,175414,175414,1,1,0.0851725300169013,1,0.158507068259752,1
"388","chr11",77773924,77773924,-0.0524283516637513,0.0524283516637513,36693,280702,280702,1,2,0.0864332887191161,1,0.159590998348948,1
"228","chrX",49355178,49355178,0.0522100712874039,0.0522100712874039,192529,457127,457127,1,2,0.0882948739241298,1,0.161209077853437,1
"783","chr3",184241840,184241840,-0.0520019406145815,0.0520019406145815,132586,99742,99742,1,1,0.0901376527711291,1,0.162800535370607,1
"533","chr16",18478530,18478530,-0.0516904488285997,0.0516904488285997,70837,359633,359633,1,2,0.0929820533612091,1,0.165264900985746,1
"582","chr17",74002944,74002944,-0.0516161980430827,0.0516161980430827,85133,395137,395137,1,4,0.093665432448539,1,0.165856446428746,1
"817","chr4",121569769,121569769,-0.0511341480827283,0.0511341480827283,139681,115839,115839,1,1,0.0983198839379048,1,0.16987441260661,1
"3","chr1",25655526,25655526,0.0506714738146267,0.0506714738146267,4710,11403,11403,1,1,0.10303905860745,1,0.173973954415342,1
"1005","chr7",156181990,156181990,-0.0505107420128449,0.0505107420128449,175660,206296,206296,1,3,0.104756298908743,1,0.17545574888383,1
"280","chr1",153590243,153590243,-0.0503532559409407,0.0503532559409407,12261,29358,29358,1,4,0.106443497884895,1,0.17691263103391,1
"684","chr2",197065128,197065128,-0.050125968218496,0.050125968218496,109712,69291,69291,1,1,0.108944743500816,1,0.179099786047148,1
"636","chr2",1544120,1544120,-0.0500454534734999,0.0500454534734999,98552,45588,45588,1,10,0.109855020076398,1,0.179890141560586,1
"791","chr4",4142417,4142417,-0.0500314570418131,0.0500314570418131,134879,105485,105485,1,1,0.110006692132592,1,0.180019832159361,1
"782","chr3",183153901,183153901,-0.0499222600415373,0.0499222600415373,132424,99284,99284,1,1,0.111278930040348,1,0.181122812844987,1
"972","chr7",76129360,76129360,-0.0494873352347586,0.0494873352347586,170385,194222,194222,1,1,0.11640207504958,1,0.185543528170459,1
"126","chr2",224897425,224897425,0.0492885325071636,0.0492885325071636,111577,73259,73259,1,2,0.118861067419572,1,0.187675485301732,1
"614","chr19",21863715,21863715,-0.0491003930045916,0.0491003930045916,93660,418426,418426,1,1,0.121239216873944,1,0.189736857530847,1
"901","chr6",33050124,33050124,-0.0489651746626821,0.0489651746626821,156471,160778,160778,1,1,0.12300359518948,1,0.191273361404469,1
"165","chr5",121742044,121742044,0.0487905467485865,0.0487905467485865,148096,134049,134049,1,1,0.125325325569808,1,0.193284176281519,1
"621","chr19",48495301,48495301,-0.0485714708469042,0.0485714708469042,96222,425443,425443,1,1,0.128283052784806,1,0.195850389316035,1
"699","chr2",241989271,241989271,-0.0484689679854832,0.0484689679854832,113424,77381,77381,1,3,0.129747017848943,1,0.197130931329927,1
"103","chr17",74965245,74965245,0.0484059428663091,0.0484059428663091,85335,395680,395680,1,4,0.130606492834045,1,0.197885872273078,1
"371","chr11",57093322,57093322,-0.0482625442152839,0.0482625442152839,33498,271941,271941,1,11,0.132605095790307,1,0.199624849793374,1
"138","chr22",20464947,20464947,0.0480671073142363,0.0480671073142363,119519,446336,446336,1,1,0.135416279955842,1,0.202066745474262,1
"433","chr12",95869602,95869602,-0.0478569491314687,0.0478569491314687,46499,302652,302652,1,2,0.13850858253793,1,0.204758252816069,1
"985","chr7",102109095,102109095,-0.0478057770734031,0.0478057770734031,172051,198502,198502,1,3,0.13926474467316,1,0.205415742631327,1
"29","chr10",47653939,47653939,0.0477235139999562,0.0477235139999562,22507,245041,245041,1,3,0.14049863714964,1,0.206482820269835,1
"30","chr10",51489510,51489510,0.0477030967812691,0.0477030967812691,22757,245581,245581,1,3,0.140812727752323,1,0.206754169149757,1
"356","chr10",135008819,135008819,-0.047682010001241,0.047682010001241,29051,260529,260529,1,7,0.141121445109858,1,0.207017458161959,1
"520","chr16",430019,430019,-0.0476615861222052,0.0476615861222052,68398,353288,353288,1,1,0.141433337566799,1,0.207291493664455,1
"772","chr3",159659697,159659697,-0.0475035364697977,0.0475035364697977,131444,97392,97392,1,1,0.143878896823924,1,0.209408308013951,1
"1047","chr8",141294201,141294201,-0.0473023035228922,0.0473023035228922,184302,224932,224932,1,3,0.147063033050342,1,0.212175773503063,1
"502","chr15",60987928,60987928,-0.04712387700515,0.04712387700515,64429,344667,344667,1,2,0.149914028077648,1,0.214652839515822,1
"452","chr13",41186645,41186645,-0.0469742123155411,0.0469742123155411,51802,315594,315594,1,1,0.152361541242099,1,0.216773805918385,1
"790","chr4",4136918,4136918,-0.046786637885191,0.046786637885191,134877,105476,105476,1,6,0.155476313758438,1,0.219466290213855,1
"458","chr13",98919378,98919378,-0.0466002598018365,0.0466002598018365,53704,319509,319509,1,1,0.158698062700886,1,0.222262331597612,1
"171","chr5",170210586,170210586,0.0465098375136324,0.0465098375136324,151414,141551,141551,1,6,0.160291718363798,1,0.223653269375434,1
"48","chr11",67499431,67499431,0.0460892270336458,0.0460892270336458,35317,277328,277328,1,3,0.167925878525582,1,0.230285807794136,1
"950","chr6",171033352,171033352,-0.0460763063803836,0.0460763063803836,164475,179863,179863,1,1,0.16816913998769,1,0.230494387401206,1
"132","chr20",21106495,21106495,0.0459145196692778,0.0459145196692778,114583,433731,433731,1,11,0.171290995418087,1,0.233203235670532,1
"46","chr11",66362959,66362959,0.0458197757930863,0.0458197757930863,35042,276491,276491,1,1,0.173103244463115,1,0.234780527359587,1
"134","chr20",31755943,31755943,0.0457450698531767,0.0457450698531767,115032,434947,434947,1,8,0.174523735089245,1,0.236023456657451,1
"464","chr13",113819100,113819100,-0.045611946984229,0.045611946984229,55041,322912,322912,1,5,0.177206694086499,1,0.238355445051241,1
"607","chr19",6495210,6495210,-0.0454162334741693,0.0454162334741693,91287,411582,411582,1,12,0.181149923309137,1,0.241784308170263,1
"959","chr7",26193805,26193805,-0.0453347859288943,0.0453347859288943,167011,186881,186881,1,6,0.182809767582724,1,0.243227024492228,1
"508","chr15",73088954,73088954,-0.0450691847113158,0.0450691847113158,65680,347153,347153,1,5,0.188357154720152,1,0.248051954395803,1
"721","chr21",47268670,47268670,-0.0450573560300847,0.0450573560300847,118905,444917,444917,1,1,0.188614826248791,1,0.248277386453561,1
"217","chr8",1245703,1245703,0.0449828420718898,0.0449828420718898,176718,209197,209197,1,4,0.190237302044764,1,0.249691038404048,1
"212","chr7",151411526,151411526,0.0449773199230446,0.0449773199230446,175235,205220,205220,1,1,0.190357223106908,1,0.249791664631347,1
"60","chr12",132312871,132312871,0.044956290548389,0.044956290548389,49811,310615,310615,1,9,0.190804912123018,1,0.250181469142919,1
"145","chr3",38207121,38207121,0.0449453924332173,0.0449453924332173,124481,82478,82478,1,10,0.191052569876611,1,0.250393468087809,1
"722","chr21",47716529,47716529,-0.0449144691551633,0.0449144691551633,119006,445132,445132,1,2,0.191720317705331,1,0.250978174855167,1
"94","chr16",75339383,75339383,0.0448681436410987,0.0448681436410987,74575,368381,368381,1,1,0.192752713488799,1,0.251877460702039,1
"341","chr10",84559420,84559420,-0.0445790830315032,0.0445790830315032,24746,249510,249510,1,1,0.199189128459637,1,0.25749225764222,1
"839","chr5",58187171,58187171,-0.0445736214874977,0.0445736214874977,145495,128712,128712,1,1,0.199311491905939,1,0.257596547445755,1
"50","chr11",123430949,123430949,0.044516048035575,0.044516048035575,39301,286281,286281,1,5,0.200627692728534,1,0.258735675416915,1
"486","chr14",100223811,100223811,-0.0445063748996566,0.0445063748996566,60262,334801,334801,1,1,0.200847263064313,1,0.258926181381217,1
"224","chr9",95140430,95140430,0.044505514781026,0.044505514781026,187409,231538,231538,1,1,0.200865580945496,1,0.25894278959349,1
"213","chr7",153748818,153748818,0.0442214935403691,0.0442214935403691,175382,205563,205563,1,3,0.207434861614514,1,0.264656258853643,1
"863","chr5",180587498,180587498,-0.0440407743717576,0.0440407743717576,152828,144909,144909,1,2,0.211743959983978,1,0.268405807012573,1
"789","chr4",2963264,2963264,-0.0439939037839213,0.0439939037839213,134614,104757,104757,1,2,0.212888705438701,1,0.269410359616643,1
"31","chr10",131669461,131669461,0.0439819621717463,0.0439819621717463,28338,258122,258122,1,3,0.21318569935228,1,0.269672671675182,1
"1009","chr7",157225062,157225062,-0.0439357874524041,0.0439357874524041,175820,206780,206780,1,4,0.214308951826415,1,0.27065597553708,1
"622","chr19",49974121,49974121,-0.0438542907698002,0.0438542907698002,96590,426431,426431,1,1,0.216343457829795,1,0.272423528952022,1
"1008","chr7",157204364,157204364,-0.0438465830676488,0.0438465830676488,175807,206739,206739,1,3,0.21653152140994,1,0.272585703260094,1
"983","chr7",99704848,99704848,-0.0438256070070015,0.0438256070070015,171584,197213,197213,1,2,0.217051749235534,1,0.273037544329272,1
"187","chr6",32921233,32921233,0.0437958715763624,0.0437958715763624,156450,160453,160453,1,26,0.217771519846814,1,0.273666946726717,1
"868","chr6",2972896,2972896,-0.0437379655030377,0.0437379655030377,153221,145888,145888,1,9,0.219240369679266,1,0.274955304369914,1
"849","chr5",131879579,131879579,-0.0437272280920165,0.0437272280920165,148606,135060,135060,1,3,0.219517824519583,1,0.275192704110044,1
"17","chr1",205180627,205180627,0.0436736758956792,0.0436736758956792,15939,37725,37725,1,11,0.220895573422953,1,0.276391914731484,1
"786","chr3",192465728,192465728,-0.0436272272174609,0.0436272272174609,133158,100856,100856,1,1,0.222053019275296,1,0.277396223097139,1
"466","chr13",114773785,114773785,-0.0433976408501135,0.0433976408501135,55226,323525,323525,1,1,0.228034662315966,1,0.282608759366543,1
"1059","chr9",117657237,117657237,-0.0433366701406039,0.0433366701406039,188453,233256,233256,1,1,0.229657626588771,1,0.284017038071884,1
"1065","chr9",138154185,138154185,-0.0433294132014793,0.0433294132014793,190345,236267,236267,1,1,0.229863763811682,1,0.284196553307477,1
"11","chr1",149162430,149162430,0.0432289399551786,0.0432289399551786,11701,27844,27844,1,4,0.232536464795475,1,0.286547592297697,1
"908","chr6",33386967,33386967,-0.0431654968549594,0.0431654968549594,156560,162321,162321,1,61,0.234233677546674,1,0.288033050342422,1
"671","chr2",121726394,121726394,-0.042940740611446,0.042940740611446,106213,62136,62136,1,2,0.240464688009848,1,0.293498861848982,1
"154","chr4",174429649,174429649,0.0426689979177834,0.0426689979177834,141580,119706,119706,1,14,0.248198741683682,1,0.300234957355973,1
"63","chr13",24902500,24902500,0.0426417460645697,0.0426417460645697,50784,313360,313360,1,3,0.248966871501285,1,0.300907345714593,1
"638","chr2",9878816,9878816,-0.0425262677179218,0.0425262677179218,99292,47238,47238,1,1,0.252406969587432,1,0.303920759288387,1
"601","chr18",32561817,32561817,-0.0424507049709332,0.0424507049709332,87931,403249,403249,1,1,0.254602917183638,1,0.305834611514376,1
"542","chr16",70560099,70560099,-0.0423806214009872,0.0423806214009872,74171,367517,367517,1,1,0.256708985042839,1,0.30766957473207,1
"1010","chr7",157504143,157504143,-0.0423757168135899,0.0423757168135899,175945,207211,207211,1,2,0.256866274582597,1,0.307806592483319,1
"118","chr2",20424804,20424804,0.0421940335664176,0.0421940335664176,99954,48562,48562,1,18,0.262462997880011,1,0.312696245567073,1
"619","chr19",40376883,40376883,-0.042134359316002,0.042134359316002,94877,421818,421818,1,1,0.264328490899677,1,0.314333375667992,1
"941","chr6",150688748,150688748,-0.0420123072814794,0.0420123072814794,162441,175196,175196,1,1,0.268187946345705,1,0.317692630838519,1
"510","chr15",78324479,78324479,-0.0420115529403375,0.0420115529403375,66290,348573,348573,1,1,0.268212858664114,1,0.317714123819107,1
"870","chr6",3848218,3848218,-0.0419961103595735,0.0419961103595735,153384,146233,146233,1,35,0.268696450727342,1,0.318134458132651,1
"820","chr4",140779949,140779949,-0.0419874822752256,0.0419874822752256,140291,117031,117031,1,1,0.268959251262713,1,0.318365996150803,1
"1002","chr7",155150876,155150876,-0.0419597432032955,0.0419597432032955,175491,205800,205800,1,5,0.269843150089391,1,0.319140964644047,1
