,chr,indexStart,indexEnd,L,p.value
207,chr11,262160,262161,2,0.005778435
679,chr19,431032,431034,3,0.016465225
519,chr17,377681,377682,2,0.005958402
36,chr1,9323,9325,3,0.017054383
2325,chr5,130681,130682,2,0.00620421
1372,chr1,28977,28979,3,0.017101935
1129,chr7,187034,187036,3,0.017307994
1635,chr12,311468,311470,3,0.017545511
1055,chr6,156154,156156,3,0.018203437
2511,chr7,180943,180944,2,0.007142571
632,chr19,416792,416793,2,0.007155008
1183,chr7,208297,208299,3,0.018957443
2067,chr2,72110,72111,2,0.007388623
544,chr17,384770,384772,3,0.019224223
231,chr11,269081,269083,3,0.019527581
2049,chr2,65447,65449,3,0.019720959
1671,chr13,320758,320760,3,0.019752173
1413,chr1,44743,44745,3,0.019780948
74,chr1,20046,20047,2,0.008000704
605,chr18,405405,405406,2,0.008165308
2396,chr6,152002,152003,2,0.008217005
1114,chr7,181250,181252,3,0.020478135
555,chr17,387650,387652,3,0.020752474
413,chr15,339454,339455,2,0.008850546
493,chr16,371493,371494,2,0.009082698
2207,chr3,94734,94735,2,0.009140736
327,chr12,304200,304201,2,0.009161464
1446,chr10,245077,245078,2,0.009174388
2501,chr6,179690,179691,2,0.009239254
350,chr13,313761,313763,3,0.021712296
2448,chr6,160445,160447,3,0.021809351
2098,chr20,435049,435051,3,0.021855683
281,chr11,287421,287423,3,0.021989805
1640,chr13,312860,312861,2,0.009636985
548,chr17,386690,386691,2,0.00988767
1990,chr19,430540,430542,3,0.022523852
740,chr2,69685,69686,2,0.010267843
1467,chr10,249935,249937,3,0.022826966
1231,chr8,223519,223521,3,0.02284111
527,chr17,380195,380197,3,0.023090088
951,chr5,122110,122111,2,0.010912113
1297,chrX,462772,462773,2,0.011057208
1071,chr6,160807,160809,3,0.023450508
993,chr5,136009,136010,2,0.011369589
2277,chr4,117461,117463,3,0.023868967
2463,chr6,165515,165516,2,0.011746348
791,chr20,440590,440592,3,0.024018939
1147,chr7,192026,192027,2,0.012447437
51,chr1,11775,11776,2,0.012453045
1350,chr1,20401,20403,3,0.024404965
2728,chrX,464149,464151,3,0.024449103
1709,chr14,335159,335160,2,0.012961243
2298,chr5,122352,122353,2,0.01303245
2385,chr6,149231,149232,2,0.013316299
573,chr17,394993,394994,2,0.013515774
1076,chr6,163271,163272,2,0.014000318
2229,chr3,102025,102026,2,0.014046407
259,chr11,280085,280086,2,0.014658
2434,chr6,159821,159822,2,0.014868693
287,chr12,289139,289140,2,0.014880886
517,chr17,377675,377676,2,0.014904296
1670,chr13,320370,320371,2,0.015279836
2665,chr9,232099,232100,2,0.015632941
1213,chr8,213509,213510,2,0.015679517
2730,chrY,464734,464735,2,0.016032378
348,chr13,313359,313360,2,0.016147479
213,chr11,262720,262721,2,0.016293549
1710,chr14,335606,335607,2,0.016326714
317,chr12,298162,298163,2,0.017120956
1482,chr10,258122,258123,2,0.017447724
189,chr10,259434,259435,2,0.017627935
1930,chr19,412300,412301,2,0.017720113
1922,chr19,409359,409360,2,0.018045418
1317,chr1,5432,5433,2,0.019652923
1683,chr14,326945,326946,2,0.020621035
1078,chr6,163716,163717,2,0.020954144
1121,chr7,184017,184017,1,0.006222011
2048,chr2,65083,65084,2,0.021491117
1411,chr1,44647,44648,2,0.021554032
1682,chr14,325296,325297,2,0.021672547
2222,chr3,100798,100799,2,0.02190982
1207,chr8,211546,211547,2,0.022239027
1455,chr10,246896,246897,2,0.022894514
2116,chr21,441395,441396,2,0.02290817
170,chr10,253963,253963,1,0.006766544
1639,chr13,312857,312858,2,0.023344674
833,chr3,80252,80252,1,0.006919442
2121,chr21,442522,442523,2,0.024325223
2493,chr6,178009,178010,2,0.025013388
1736,chr15,344666,344667,2,0.025080692
2556,chr7,199423,199423,1,0.007274498
1729,chr15,342731,342731,1,0.007296933
667,chr19,426925,426926,2,0.025505735
2090,chr20,433101,433101,1,0.007361555
1873,chr17,389087,389088,2,0.025652781
2002,chr2,47380,47380,1,0.00750031
328,chr12,304250,304250,1,0.007530792
1476,chr10,256125,256126,2,0.026197801
684,chr2,45310,45311,2,0.026306805
1026,chr6,145867,145868,2,0.026362892
958,chr5,122765,122765,1,0.00760151
786,chr20,438921,438922,2,0.02648921
1374,chr1,29377,29378,2,0.026656008
2079,chr2,76605,76605,1,0.007644917
2430,chr6,159800,159800,1,0.007858048
1457,chr10,247328,247329,2,0.028180846
2440,chr6,159846,159847,2,0.028200111
185,chr10,259005,259006,2,0.028469817
1965,chr19,425706,425707,2,0.028529806
1956,chr19,421818,421818,1,0.008118243
1454,chr10,246639,246640,2,0.02863125
299,chr12,291141,291141,1,0.008132875
798,chr21,442918,442918,1,0.008232125
1509,chr11,266188,266188,1,0.008303331
1823,chr16,371553,371554,2,0.029550103
1784,chr16,358997,358998,2,0.029734215
1378,chr1,32443,32443,1,0.008543042
1712,chr14,336926,336927,2,0.030583813
2032,chr2,59729,59729,1,0.008711304
2713,chrX,459243,459244,2,0.031226132
171,chr10,254326,254326,1,0.008830062
1107,chr6,179226,179227,2,0.031522663
763,chr2,77314,77314,1,0.008845669
1478,chr10,257119,257120,2,0.031750181
78,chr1,22567,22567,1,0.008886881
1310,chr1,3076,3077,2,0.031787735
864,chr3,92988,92988,1,0.00896711
1952,chr19,421416,421417,2,0.032349094
11,chr1,1362,1363,2,0.032391281
2191,chr3,89755,89755,1,0.009062701
1916,chr19,407306,407306,1,0.009098792
1946,chr19,419630,419631,2,0.032848757
1987,chr19,429631,429632,2,0.032864852
2029,chr2,58023,58023,1,0.009211454
1714,chr14,337177,337177,1,0.009230475
2405,chr6,152707,152708,2,0.033905389
2227,chr3,101767,101767,1,0.009431169
513,chr17,376957,376958,2,0.034792053
30,chr1,4638,4639,2,0.034960071
917,chr4,111194,111195,2,0.035095411
789,chr20,440327,440328,2,0.035345609
2147,chr22,452362,452363,2,0.035396331
1590,chr12,292759,292760,2,0.035458027
340,chr12,310000,310001,2,0.035674328
1189,chr8,208585,208585,1,0.009893035
2475,chr6,170820,170821,2,0.035964518
1986,chr19,429627,429628,2,0.035977686
68,chr1,18276,18276,1,0.00996863
1158,chr7,195815,195816,2,0.03611766
1841,chr17,379535,379536,2,0.036677312
764,chr2,77381,77381,1,0.010149328
2679,chr9,235320,235320,1,0.010271257
29,chr1,4636,4637,2,0.037369134
197,chr10,260910,260911,2,0.037564464
18,chr1,2961,2962,2,0.037731262
2458,chr6,162965,162966,2,0.037787837
2264,chr4,111106,111107,2,0.03841967
1067,chr6,160755,160756,2,0.03846454
2594,chr8,209909,209910,2,0.038679866
825,chr22,452706,452706,1,0.010708736
2446,chr6,159911,159912,2,0.039079791
1063,chr6,159814,159814,1,0.010786283
37,chr1,9651,9652,2,0.039482155
1175,chr7,206780,206780,1,0.010936255
659,chr19,425892,425893,2,0.04015203
664,chr19,426286,426287,2,0.040318097
859,chr3,90615,90615,1,0.011065011
1254,chr8,227910,227911,2,0.040570733
1215,chr8,214797,214797,1,0.011139144
1505,chr11,265514,265515,2,0.040764355
227,chr11,266567,266567,1,0.011189135
1243,chr8,226360,226361,2,0.040939444
2095,chr20,434392,434392,1,0.011195231
1596,chr12,295253,295254,2,0.041091611
769,chr2,78057,78057,1,0.011244734
1387,chr1,35821,35821,1,0.011268388
506,chr17,374608,374609,2,0.04130523
1795,chr16,360475,360476,2,0.041722225
2089,chr20,432968,432968,1,0.011400559
111,chr1,36497,36497,1,0.011447623
1997,chr2,45756,45757,2,0.042007294
1771,chr16,353312,353313,2,0.042725941
897,chr4,105460,105460,1,0.011712452
2248,chr4,106936,106937,2,0.043061488
1461,chr10,248528,248529,2,0.043642843
4,chr1,239,240,2,0.044077396
2531,chr7,189286,189287,2,0.044126168
446,chr16,354487,354487,1,0.012051901
1537,chr11,278257,278257,1,0.012069214
1093,chr6,171083,171083,1,0.012075311
627,chr19,415136,415137,2,0.044712156
1319,chr1,5612,5613,2,0.044899926
1104,chr6,177984,177984,1,0.012289417
2399,chr6,152354,152355,2,0.045178411
1757,chr15,352504,352505,2,0.045684414
89,chr1,26857,26857,1,0.012494989
2042,chr2,63596,63596,1,0.012549613
850,chr3,87149,87150,2,0.046152376
2240,chr4,105573,105574,2,0.046465488
2641,chr8,224924,224925,2,0.046568639
486,chr16,369909,369910,2,0.046777137
2503,chr7,179868,179869,2,0.047240222
1376,chr1,29889,29890,2,0.047521876
1235,chr8,224932,224932,1,0.012914423
1340,chr1,12791,12792,2,0.047595765
155,chr10,247696,247697,2,0.047713548
1690,chr14,330100,330100,1,0.012973436
2488,chr6,176359,176360,2,0.048282954
2649,chr9,228851,228852,2,0.048386837
355,chr13,314336,314337,2,0.04847048
1405,chr1,43209,43210,2,0.049006234
676,chr19,429230,429231,2,0.049016232
2472,chr6,168823,168824,2,0.049238142
545,chr17,385241,385242,2,0.049291303
1631,chr12,310053,310054,2,0.050044821
2606,chr8,212337,212337,1,0.013604538
861,chr3,91440,91441,2,0.050179674
2363,chr5,140637,140638,2,0.050258927
223,chr11,265178,265178,1,0.013671355
2175,chr3,83942,83943,2,0.050412801
361,chr13,316896,316897,2,0.050569357
1473,chr10,254027,254027,1,0.013847907
977,chr5,129621,129621,1,0.013893265
2107,chr20,439612,439612,1,0.013989832
390,chr14,326378,326378,1,0.01400105
1341,chr1,13225,13225,1,0.014003976
1041,chr6,152784,152785,2,0.051522838
2621,chr8,219686,219686,1,0.014035433
1652,chr13,316692,316693,2,0.051602823
724,chr2,61411,61411,1,0.014083961
2719,chrX,460446,460447,2,0.051861799
1300,chrX,463479,463480,2,0.051922032
1010,chr5,142816,142816,1,0.014147851
1251,chr8,227723,227723,1,0.014192477
490,chr16,370938,370939,2,0.052238071
136,chr10,238807,238808,2,0.052429255
2408,chr6,153508,153509,2,0.052443398
2204,chr3,93901,93901,1,0.014291727
828,chr22,453411,453412,2,0.052801868
1963,chr19,424745,424746,2,0.053548071
112,chr1,36632,36633,2,0.054059195
1094,chr6,171449,171450,2,0.054334509
2113,chr21,441340,441341,2,0.054413275
508,chr17,374876,374876,1,0.014925024
1410,chr1,44606,44607,2,0.054833685
2131,chr21,445131,445132,2,0.054870995
800,chr21,443320,443321,2,0.055578668
2289,chr4,121698,121699,2,0.056542634
1641,chr13,313148,313148,1,0.015605385
2226,chr3,101746,101747,2,0.05712399
2549,chr7,196503,196504,2,0.057166665
1307,chr1,1376,1376,1,0.015773646
1024,chr6,145510,145511,2,0.057516843
2422,chr6,156872,156873,2,0.057812642
774,chr20,432274,432274,1,0.016025307
1769,chr16,353261,353261,1,0.016034085
447,chr16,354769,354769,1,0.016056276
1333,chr1,10639,10639,1,0.016072371
1038,chr6,152735,152735,1,0.016126751
2706,chrX,456531,456531,1,0.016225025
647,chr19,422375,422375,1,0.016354026
978,chr5,129696,129697,2,0.059260665
2158,chr3,78320,78320,1,0.016478149
2036,chr2,62998,62999,2,0.059616208
1246,chr8,227014,227014,1,0.016581544
611,chr19,408149,408149,1,0.016588616
1533,chr11,276863,276864,2,0.059924199
465,chr16,363523,363523,1,0.016661529
210,chr11,262527,262528,2,0.060182932
301,chr12,291520,291520,1,0.016762486
2551,chr7,198501,198501,1,0.016910995
478,chr16,365841,365841,1,0.017052188
1578,chr12,289960,289961,2,0.061365638
960,chr5,123613,123613,1,0.017112909
528,chr17,380387,380387,1,0.017123638
2573,chr7,204272,204273,2,0.061698503
1390,chr1,36838,36839,2,0.061996252
1968,chr19,426344,426345,2,0.062113304
1691,chr14,330474,330475,2,0.062399348
1661,chr13,318502,318502,1,0.017489424
1479,chr10,257508,257509,2,0.062776839
1468,chr10,251186,251187,2,0.062859262
666,chr19,426541,426542,2,0.062937297
2096,chr20,434397,434397,1,0.017779126
300,chr12,291442,291443,2,0.063678622
2579,chr7,206079,206080,2,0.063724711
743,chr2,70549,70550,2,0.06373349
1044,chr6,153335,153336,2,0.064019534
1328,chr1,8603,8603,1,0.018050295
1733,chr15,343329,343329,1,0.018201974
2069,chr2,73219,73220,2,0.064730133
2324,chr5,130671,130672,2,0.064946678
2164,chr3,80272,80272,1,0.018472411
1408,chr1,44589,44589,1,0.01874163
1339,chr1,12736,12736,1,0.018821859
2626,chr8,222503,222503,1,0.018963296
927,chr4,116679,116679,1,0.019285675
820,chr22,452035,452036,2,0.067457918
67,chr1,16886,16887,2,0.067487424
1492,chr10,259973,259973,1,0.019459788
1334,chr1,11392,11393,2,0.068493578
403,chr14,335871,335871,1,0.019850447
865,chr3,92998,92999,2,0.06914492
502,chr16,373598,373598,1,0.020285976
1501,chr11,261362,261362,1,0.020394736
681,chr2,45243,45244,2,0.070507106
2544,chr7,195716,195717,2,0.070638788
266,chr11,281770,281771,2,0.07140328
1598,chr12,297017,297017,1,0.021220924
2678,chr9,234917,234917,1,0.021302372
1564,chr11,287951,287951,1,0.021324075
1391,chr1,37166,37166,1,0.021368213
1451,chr10,246201,246201,1,0.021453563
1831,chr17,374238,374238,1,0.021510138
1976,chr19,428555,428555,1,0.021614753
1678,chr14,324637,324638,2,0.072460888
1782,chr16,358353,358354,2,0.072755955
1302,chr1,265,265,1,0.021843978
1156,chr7,195057,195057,1,0.021937863
755,chr2,75121,75122,2,0.073248058
776,chr20,434149,434149,1,0.022104905
2311,chr5,125406,125406,1,0.022136363
1164,chr7,199970,199971,2,0.073551416
1638,chr13,312855,312855,1,0.022373636
1028,chr6,145900,145900,1,0.022445086
695,chr2,48686,48687,2,0.074125943
1592,chr12,293248,293248,1,0.022752833
797,chr21,442602,442603,2,0.0746973
2279,chr4,118757,118758,2,0.074780699
65,chr1,16478,16479,2,0.07481045
1796,chr16,360576,360576,1,0.023065702
1879,chr17,392505,392505,1,0.023115936
371,chr13,321366,321367,2,0.075652
302,chr12,291789,291789,1,0.023595115
393,chr14,330600,330600,1,0.023673394
1617,chr12,304701,304702,2,0.076025346
2534,chr7,191850,191850,1,0.024279866
1363,chr1,26488,26489,2,0.076901036
1275,chr9,237826,237826,1,0.02433449
1786,chr16,359602,359602,1,0.024364972
814,chr22,448390,448390,1,0.024447152
770,chr20,431553,431554,2,0.077324859
1528,chr11,274152,274153,2,0.077377045
1132,chr7,187082,187083,2,0.077597004
1424,chr10,239819,239820,2,0.07770674
995,chr5,136015,136016,2,0.07808862
955,chr5,122335,122336,2,0.078305896
101,chr1,31477,31478,2,0.07836369
91,chr1,27000,27001,2,0.078373932
622,chr19,412559,412559,1,0.025464523
2452,chr6,160780,160780,1,0.0257969
1020,chr6,145125,145125,1,0.026010031
1896,chr17,399744,399745,2,0.079206704
1636,chr12,311478,311479,2,0.079444221
1906,chr18,405731,405731,1,0.026352407
2685,chr9,236505,236506,2,0.079487871
625,chr19,413857,413858,2,0.079522986
1422,chr10,239500,239500,1,0.02673453
872,chr3,98984,98984,1,0.026741115
1433,chr10,241550,241550,1,0.027127628
2507,chr7,180670,180670,1,0.027377825
975,chr5,126899,126900,2,0.080555477
2059,chr2,68290,68290,1,0.02748878
530,chr17,380756,380756,1,0.027685573
893,chr4,103815,103816,2,0.080822013
2092,chr20,434378,434378,1,0.028049895
1798,chr16,360683,360683,1,0.028282779
2642,chr8,225808,225808,1,0.028513955
1025,chr6,145512,145512,1,0.028541267
1624,chr12,308604,308604,1,0.028816094
1649,chr13,316560,316561,2,0.081821583
1656,chr13,316724,316724,1,0.028947533
2716,chrX,459872,459872,1,0.029067998
795,chr21,442174,442174,1,0.029091408
1370,chr1,28436,28437,2,0.082117625
2454,chr6,161841,161842,2,0.082220289
2301,chr5,122978,122978,1,0.029628381
344,chr12,311143,311143,1,0.0298559
219,chr11,263721,263722,2,0.082540961
2545,chr7,195909,195910,2,0.08260729
2715,chrX,459728,459728,1,0.030155844
1301,chrY,464646,464646,1,0.030228514
1486,chr10,259069,259070,2,0.082900894
523,chr17,379125,379125,1,0.030755732
1867,chr17,387049,387049,1,0.030773778
325,chr12,302652,302652,1,0.031494619
2087,chr20,432654,432654,1,0.031948437
2033,chr2,60135,60135,1,0.032382746
1910,chr19,406983,406984,2,0.083853643
1966,chr19,425992,425992,1,0.033430356
2436,chr6,159832,159832,1,0.033616175
2587,chr8,208744,208744,1,0.03373786
2439,chr6,159841,159841,1,0.033931726
1918,chr19,407477,407477,1,0.033968304
1369,chr1,28225,28225,1,0.034352135
948,chr4,121813,121813,1,0.034502595
2508,chr7,180671,180671,1,0.03515223
166,chr10,251628,251629,2,0.084111156
2038,chr2,63118,63118,1,0.035263917
919,chr4,111218,111218,1,0.035577761
1211,chr8,212830,212830,1,0.036241296
1491,chr10,259219,259219,1,0.036563918
229,chr11,268139,268139,1,0.036565869
1901,chr18,402640,402640,1,0.037829292
787,chr20,439032,439032,1,0.038298229
382,chr13,323525,323525,1,0.038795941
109,chr1,35939,35939,1,0.038805696
2374,chr6,145888,145888,1,0.03899249
788,chr20,439426,439426,1,0.039474839
1824,chr16,371702,371702,1,0.040182512
439,chr16,353288,353288,1,0.040744847
2444,chr6,159897,159897,1,0.040777767
1355,chr1,21983,21983,1,0.041765632
1830,chr17,374205,374205,1,0.041903655
2663,chr9,231653,231653,1,0.042064601
248,chr11,275810,275810,1,0.042839822
1195,chr8,209153,209153,1,0.043314612
1265,chr9,231538,231538,1,0.04347385
1727,chr15,341923,341923,1,0.043767698
53,chr1,13362,13362,1,0.043835002
1770,chr16,353263,353263,1,0.044080079
639,chr19,419840,419840,1,0.04472508
2524,chr7,185887,185887,1,0.045198651
2165,chr3,80972,80972,1,0.045324725
307,chr12,292439,292439,1,0.045454213
2497,chr6,178439,178439,1,0.045951193
2597,chr8,210105,210105,1,0.046403304
2188,chr3,89732,89732,1,0.046695933
346,chr12,311776,311776,1,0.046746899
152,chr10,245724,245724,1,0.047587962
291,chr12,289655,289655,1,0.047650145
747,chr2,72650,72650,1,0.04769916
1414,chr10,238079,238079,1,0.048236134
1474,chr10,254304,254304,1,0.048413661
25,chr1,4290,4290,1,0.048454873
2629,chr8,223376,223376,1,0.048671906
1960,chr19,423968,423968,1,0.048704827
2414,chr6,155797,155797,1,0.048741649
1450,chr10,245883,245883,1,0.048895279
2651,chr9,229161,229161,1,0.049845346
122,chr1,41312,41312,1,0.049900945
750,chr2,73992,73992,1,0.050045552
1283,chrX,455558,455558,1,0.050232347
1272,chr9,236394,236394,1,0.050295506
1789,chr16,359633,359633,1,0.050371102
2153,chr22,452713,452713,1,0.050424019
33,chr1,6891,6891,1,0.051122913
1619,chr12,306539,306539,1,0.05114803
501,chr16,373027,373027,1,0.051499672
2442,chr6,159852,159852,1,0.052268309
1772,chr16,354157,354157,1,0.052946475
451,chr16,357043,357043,1,0.053144487
1266,chr9,232033,232033,1,0.05323569
2093,chr20,434381,434381,1,0.053431019
1720,chr15,340065,340065,1,0.053728037
2494,chr6,178163,178163,1,0.053957994
264,chr11,281388,281388,1,0.05457227
2220,chr3,99764,99764,1,0.05458617
2339,chr5,133754,133754,1,0.054781743
1166,chr7,202838,202838,1,0.055025112
1660,chr13,318296,318296,1,0.055611345
238,chr11,270669,270669,1,0.055690598
1110,chr7,180029,180029,1,0.056323895
216,chr11,263307,263307,1,0.056435094
483,chr16,368873,368873,1,0.056567508
2094,chr20,434388,434388,1,0.056613353
1970,chr19,426840,426840,1,0.057191294
768,chr2,78047,78047,1,0.057272255
2410,chr6,155283,155283,1,0.057500017
2148,chr22,452619,452619,1,0.057587318
841,chr3,83517,83517,1,0.057867022
1508,chr11,266166,266166,1,0.059025586
2283,chr4,120068,120068,1,0.059155318
2496,chr6,178402,178402,1,0.059441119
2543,chr7,194248,194248,1,0.059461847
604,chr18,404689,404689,1,0.059898351
1264,chr9,231215,231215,1,0.060187809
1103,chr6,177194,177194,1,0.060243896
1194,chr8,209100,209100,1,0.060429471
308,chr12,293487,293487,1,0.060622606
756,chr2,75566,75566,1,0.061263218
2223,chr3,101084,101084,1,0.061836038
2402,chr6,152622,152622,1,0.061839696
557,chr17,388255,388255,1,0.061909683
1763,chr15,352776,352776,1,0.062043317
1707,chr14,335133,335133,1,0.062728799
1342,chr1,13316,13316,1,0.063381604
1091,chr6,168340,168340,1,0.064212425
1650,chr13,316563,316563,1,0.064330452
157,chr10,248962,248962,1,0.064406535
2170,chr3,82478,82478,1,0.065952101
