,chr,length,start,end,p
57,chr8,1,208997,208997,0.01
58,chr8,1,209027,209027,0.01
59,chr8,1,209035,209035,0.01
60,chr8,1,209044,209044,0.01
61,chr8,1,209048,209048,0.01
62,chr8,1,209050,209050,0.01
63,chr8,1,209052,209052,0.01
64,chr8,1,209058,209058,0.01
65,chr8,1,209065,209065,0.01
66,chr8,2,209069,209070,0.01
67,chr8,1,209107,209107,0.01
68,chr8,3,209136,209138,0.01
69,chr8,1,209144,209144,0.01
70,chr8,4,209150,209153,0.01
71,chr8,1,209155,209155,0.01
72,chr8,1,209157,209157,0.01
73,chr8,1,209187,209187,0.01
74,chr8,2,209193,209194,0.01
75,chr8,1,209201,209201,0.01
76,chr8,1,209226,209226,0.01
77,chr8,1,209228,209228,0.01
78,chr8,1,209263,209263,0.01
79,chr8,2,209265,209266,0.01
80,chr8,1,209283,209283,0.01
81,chr8,1,209310,209310,0.01
82,chr8,1,209316,209316,0.01
83,chr8,3,209325,209327,0.01
84,chr8,1,209333,209333,0.01
85,chr8,1,209345,209345,0.01
86,chr8,1,209347,209347,0.01
87,chr8,2,209353,209354,0.01
88,chr8,2,209366,209367,0.01
89,chr8,1,209386,209386,0.01
90,chr8,1,209398,209398,0.01
91,chr8,3,209401,209403,0.01
92,chr8,1,209410,209410,0.01
93,chr8,1,209430,209430,0.01
94,chr8,1,209432,209432,0.01
95,chr8,1,209438,209438,0.01
96,chr8,1,209443,209443,0.01
97,chr8,1,209457,209457,0.01
98,chr8,1,209459,209459,0.01
99,chr8,1,209462,209462,0.01
100,chr8,1,209465,209465,0.01
101,chr8,2,209469,209470,0.01
102,chr8,1,209483,209483,0.01
103,chr8,1,209497,209497,0.01
104,chr8,1,209517,209517,0.01
105,chr8,1,209519,209519,0.01
106,chr8,1,209531,209531,0.01
107,chr8,1,209533,209533,0.01
108,chr8,2,209556,209557,0.01
109,chr8,4,209564,209567,0.01
110,chr8,1,209572,209572,0.01
111,chr8,1,209580,209580,0.01
112,chr8,1,209584,209584,0.01
113,chr8,2,209621,209622,0.01
114,chr8,1,209627,209627,0.01
115,chr8,1,209632,209632,0.01
116,chr8,1,209640,209640,0.01
117,chr8,1,209643,209643,0.01
118,chr8,2,209648,209649,0.01
119,chr8,2,209656,209657,0.01
120,chr8,1,209687,209687,0.01
121,chr8,1,209702,209702,0.01
122,chr8,1,209704,209704,0.01
123,chr8,2,209706,209707,0.01
124,chr8,1,209710,209710,0.01
125,chr8,2,209717,209718,0.01
126,chr8,2,209733,209734,0.01
127,chr8,1,209746,209746,0.01
128,chr8,1,209751,209751,0.01
129,chr8,1,209776,209776,0.01
130,chr8,1,209780,209780,0.01
131,chr8,1,209782,209782,0.01
132,chr8,4,209789,209792,0.01
133,chr8,1,209804,209804,0.01
134,chr8,1,209816,209816,0.01
135,chr8,1,209820,209820,0.01
136,chr8,2,209827,209828,0.01
137,chr8,2,209847,209848,0.01
138,chr8,1,209859,209859,0.01
139,chr8,3,209863,209865,0.01
140,chr8,1,209871,209871,0.01
141,chr8,2,209887,209888,0.01
142,chr8,1,209892,209892,0.01
143,chr8,1,209910,209910,0.01
144,chr8,1,209919,209919,0.01
145,chr8,2,209925,209926,0.01
146,chr8,1,209933,209933,0.01
147,chr8,1,209935,209935,0.01
148,chr8,2,209937,209938,0.01
149,chr8,1,209944,209944,0.01
150,chr8,1,209957,209957,0.01
151,chr8,1,209960,209960,0.01
152,chr8,1,209973,209973,0.01
153,chr8,2,209984,209985,0.01
154,chr8,3,209991,209993,0.01
155,chr8,1,209995,209995,0.01
156,chr8,1,210004,210004,0.01
157,chr8,3,210020,210022,0.01
158,chr8,1,210033,210033,0.01
159,chr8,2,210036,210037,0.01
160,chr8,1,210071,210071,0.01
161,chr8,3,210074,210076,0.01
162,chr8,2,210082,210083,0.01
163,chr8,1,210087,210087,0.01
164,chr8,1,210090,210090,0.01
165,chr8,2,210100,210101,0.01
166,chr8,2,210116,210117,0.01
167,chr8,1,210127,210127,0.01
168,chr8,2,210139,210140,0.01
169,chr8,1,210142,210142,0.01
170,chr8,1,210151,210151,0.01
171,chr8,1,210156,210156,0.01
172,chr8,1,210163,210163,0.01
173,chr8,1,210174,210174,0.01
174,chr8,1,210183,210183,0.01
175,chr8,2,210187,210188,0.01
176,chr8,2,210193,210194,0.01
177,chr8,1,210196,210196,0.01
178,chr8,1,210200,210200,0.01
179,chr8,1,210214,210214,0.01
180,chr8,2,210217,210218,0.01
181,chr8,2,210220,210221,0.01
182,chr8,4,210235,210238,0.01
183,chr8,2,210244,210245,0.01
184,chr8,1,210247,210247,0.01
185,chr8,1,210250,210250,0.01
186,chr8,1,210255,210255,0.01
187,chr8,1,210263,210263,0.01
188,chr8,3,210265,210267,0.01
189,chr8,2,210290,210291,0.01
190,chr8,1,210298,210298,0.01
191,chr8,1,210302,210302,0.01
192,chr8,1,210304,210304,0.01
193,chr8,1,210309,210309,0.01
194,chr8,1,210314,210314,0.01
195,chr8,1,210318,210318,0.01
196,chr8,1,210326,210326,0.01
197,chr8,1,210329,210329,0.01
198,chr8,1,210345,210345,0.01
199,chr8,1,210351,210351,0.01
200,chr8,3,210392,210394,0.01
201,chr8,1,210404,210404,0.01
202,chr8,2,210409,210410,0.01
203,chr8,1,210423,210423,0.01
204,chr8,1,210432,210432,0.01
205,chr8,1,210440,210440,0.01
206,chr8,1,210444,210444,0.01
207,chr8,1,210453,210453,0.01
208,chr8,1,210456,210456,0.01
209,chr8,2,210459,210460,0.01
210,chr8,1,210467,210467,0.01
211,chr8,1,210499,210499,0.01
212,chr8,1,210502,210502,0.01
213,chr8,1,210518,210518,0.01
214,chr8,1,210520,210520,0.01
215,chr8,3,210528,210530,0.01
216,chr8,1,210533,210533,0.01
217,chr8,2,210538,210539,0.01
218,chr8,1,210543,210543,0.01
219,chr8,2,210568,210569,0.01
220,chr8,1,210574,210574,0.01
221,chr8,1,210589,210589,0.01
222,chr8,1,210596,210596,0.01
223,chr8,1,210605,210605,0.01
224,chr8,1,210615,210615,0.01
225,chr8,2,210626,210627,0.01
226,chr8,1,210639,210639,0.01
227,chr8,1,210648,210648,0.01
228,chr8,1,210652,210652,0.01
229,chr8,1,210656,210656,0.01
230,chr8,1,210661,210661,0.01
231,chr8,2,210667,210668,0.01
232,chr8,1,210676,210676,0.01
233,chr8,2,210686,210687,0.01
234,chr8,1,210694,210694,0.01
235,chr8,4,210704,210707,0.01
236,chr8,1,210714,210714,0.01
237,chr8,2,210729,210730,0.01
238,chr8,1,210732,210732,0.01
239,chr8,1,210742,210742,0.01
240,chr8,1,210747,210747,0.01
241,chr8,1,210764,210764,0.01
242,chr8,1,210767,210767,0.01
243,chr8,2,210782,210783,0.01
244,chr8,1,210792,210792,0.01
245,chr8,1,210804,210804,0.01
246,chr8,1,210811,210811,0.01
247,chr8,1,210814,210814,0.01
248,chr8,1,210817,210817,0.01
249,chr8,1,210830,210830,0.01
250,chr8,1,210855,210855,0.01
251,chr8,1,210866,210866,0.01
252,chr8,1,210870,210870,0.01
253,chr8,1,210878,210878,0.01
254,chr8,1,210891,210891,0.01
255,chr8,1,210916,210916,0.01
256,chr8,1,210923,210923,0.01
257,chr8,1,210925,210925,0.01
258,chr8,1,210937,210937,0.01
259,chr8,1,210953,210953,0.01
260,chr8,1,210956,210956,0.01
261,chr8,1,210965,210965,0.01
262,chr8,1,210967,210967,0.01
263,chr8,1,210976,210976,0.01
264,chr8,1,210980,210980,0.01
265,chr8,1,210989,210989,0.01
266,chr8,1,210994,210994,0.01
267,chr8,1,210999,210999,0.01
268,chr8,1,211005,211005,0.01
269,chr8,1,211010,211010,0.01
270,chr8,1,211019,211019,0.01
271,chr8,1,211033,211033,0.01
272,chr8,1,211035,211035,0.01
273,chr8,1,211043,211043,0.01
274,chr8,1,211051,211051,0.01
275,chr8,2,211053,211054,0.01
276,chr8,1,211059,211059,0.01
277,chr8,1,211064,211064,0.01
278,chr8,1,211067,211067,0.01
279,chr8,2,211071,211072,0.01
280,chr8,1,211076,211076,0.01
281,chr8,1,211085,211085,0.01
282,chr8,1,211104,211104,0.01
283,chr8,1,211107,211107,0.01
284,chr8,2,211133,211134,0.01
285,chr8,1,211148,211148,0.01
286,chr8,1,211153,211153,0.01
287,chr8,1,211156,211156,0.01
288,chr8,1,211158,211158,0.01
289,chr8,2,211175,211176,0.01
290,chr8,1,211183,211183,0.01
291,chr8,1,211189,211189,0.01
292,chr8,2,211191,211192,0.01
293,chr8,1,211199,211199,0.01
294,chr8,1,211208,211208,0.01
295,chr8,1,211213,211213,0.01
296,chr8,1,211233,211233,0.01
297,chr8,1,211239,211239,0.01
298,chr8,1,211248,211248,0.01
299,chr8,1,211261,211261,0.01
300,chr8,1,211265,211265,0.01
301,chr8,1,211270,211270,0.01
302,chr8,1,211273,211273,0.01
303,chr8,1,211280,211280,0.01
304,chr8,1,211290,211290,0.01
305,chr8,1,211292,211292,0.01
306,chr8,1,211298,211298,0.01
307,chr8,1,211300,211300,0.01
308,chr8,2,211308,211309,0.01
309,chr8,1,211321,211321,0.01
310,chr8,1,211326,211326,0.01
311,chr8,1,211331,211331,0.01
312,chr8,1,211338,211338,0.01
313,chr8,1,211345,211345,0.01
314,chr8,1,211363,211363,0.01
315,chr8,2,211366,211367,0.01
316,chr8,1,211372,211372,0.01
317,chr8,1,211379,211379,0.01
318,chr8,1,211390,211390,0.01
319,chr8,2,211393,211394,0.01
320,chr8,1,211398,211398,0.01
321,chr8,2,211400,211401,0.01
322,chr8,1,211409,211409,0.01
323,chr8,1,211413,211413,0.01
324,chr8,2,211435,211436,0.01
325,chr8,1,211442,211442,0.01
326,chr8,1,211474,211474,0.01
327,chr8,1,211485,211485,0.01
328,chr8,1,211490,211490,0.01
329,chr8,1,211496,211496,0.01
330,chr8,1,211514,211514,0.01
331,chr8,1,211533,211533,0.01
332,chr8,1,211541,211541,0.01
333,chr8,1,211561,211561,0.01
334,chr8,1,211565,211565,0.01
335,chr8,2,211575,211576,0.01
336,chr8,1,211591,211591,0.01
337,chr8,2,211596,211597,0.01
338,chr8,1,211610,211610,0.01
339,chr8,1,211622,211622,0.01
340,chr8,2,211667,211668,0.01
341,chr8,1,211670,211670,0.01
342,chr8,3,211678,211680,0.01
343,chr8,1,211685,211685,0.01
344,chr8,1,211692,211692,0.01
345,chr8,1,211702,211702,0.01
346,chr8,1,211709,211709,0.01
347,chr8,1,211716,211716,0.01
348,chr8,1,211720,211720,0.01
349,chr8,2,211733,211734,0.01
350,chr8,1,211738,211738,0.01
351,chr8,1,211740,211740,0.01
352,chr8,1,211764,211764,0.01
353,chr8,1,211768,211768,0.01
354,chr8,1,211777,211777,0.01
355,chr8,1,211786,211786,0.01
356,chr8,1,211795,211795,0.01
357,chr8,2,211798,211799,0.01
358,chr8,1,211801,211801,0.01
359,chr8,1,211806,211806,0.01
360,chr8,3,211813,211815,0.01
361,chr8,1,211818,211818,0.01
362,chr8,1,211820,211820,0.01
363,chr8,1,211824,211824,0.01
364,chr8,1,211845,211845,0.01
365,chr8,1,211859,211859,0.01
366,chr8,1,211866,211866,0.01
367,chr8,1,211875,211875,0.01
368,chr8,1,211879,211879,0.01
369,chr8,1,211881,211881,0.01
370,chr8,1,211892,211892,0.01
371,chr8,1,211894,211894,0.01
372,chr8,1,211906,211906,0.01
373,chr8,1,211915,211915,0.01
374,chr8,1,211917,211917,0.01
375,chr8,2,211927,211928,0.01
376,chr8,1,211930,211930,0.01
377,chr8,1,211943,211943,0.01
378,chr8,1,211965,211965,0.01
379,chr8,1,211977,211977,0.01
380,chr8,1,211980,211980,0.01
381,chr8,1,211986,211986,0.01
382,chr8,1,211995,211995,0.01
383,chr8,1,212011,212011,0.01
384,chr8,1,212024,212024,0.01
385,chr8,1,212054,212054,0.01
386,chr8,5,212060,212064,0.01
387,chr8,1,212066,212066,0.01
388,chr8,1,212076,212076,0.01
389,chr8,1,212089,212089,0.01
390,chr8,2,212096,212097,0.01
391,chr8,1,212099,212099,0.01
392,chr8,1,212104,212104,0.01
393,chr8,1,212108,212108,0.01
394,chr8,1,212115,212115,0.01
395,chr8,1,212128,212128,0.01
396,chr8,2,212134,212135,0.01
397,chr8,3,212140,212142,0.01
398,chr8,1,212152,212152,0.01
399,chr8,1,212159,212159,0.01
400,chr8,1,212163,212163,0.01
401,chr8,1,212166,212166,0.01
402,chr8,1,212168,212168,0.01
403,chr8,2,212191,212192,0.01
404,chr8,2,212202,212203,0.01
405,chr8,1,212207,212207,0.01
406,chr8,1,212214,212214,0.01
407,chr8,2,212240,212241,0.01
408,chr8,1,212248,212248,0.01
409,chr8,1,212251,212251,0.01
410,chr8,1,212253,212253,0.01
411,chr8,2,212256,212257,0.01
412,chr8,1,212269,212269,0.01
413,chr8,1,212280,212280,0.01
414,chr8,1,212285,212285,0.01
415,chr8,1,212291,212291,0.01
416,chr8,2,212297,212298,0.01
417,chr8,1,212314,212314,0.01
418,chr8,4,212323,212326,0.01
419,chr8,1,212334,212334,0.01
420,chr8,1,212336,212336,0.01
421,chr8,1,212338,212338,0.01
422,chr8,1,212344,212344,0.01
423,chr8,1,212348,212348,0.01
424,chr8,1,212356,212356,0.01
425,chr8,2,212363,212364,0.01
426,chr8,1,212368,212368,0.01
427,chr8,1,212374,212374,0.01
428,chr8,1,212388,212388,0.01
429,chr8,1,212396,212396,0.01
430,chr8,2,212401,212402,0.01
431,chr8,3,212405,212407,0.01
432,chr8,1,212413,212413,0.01
433,chr8,1,212420,212420,0.01
434,chr8,2,212424,212425,0.01
435,chr8,1,212436,212436,0.01
436,chr8,1,212451,212451,0.01
437,chr8,2,212455,212456,0.01
438,chr8,1,212458,212458,0.01
439,chr8,2,212461,212462,0.01
440,chr8,2,212468,212469,0.01
441,chr8,1,212471,212471,0.01
442,chr8,1,212474,212474,0.01
443,chr8,1,212481,212481,0.01
444,chr8,1,212485,212485,0.01
445,chr8,1,212493,212493,0.01
446,chr8,1,212502,212502,0.01
447,chr8,1,212506,212506,0.01
448,chr8,3,212510,212512,0.01
449,chr8,1,212514,212514,0.01
450,chr8,1,212531,212531,0.01
451,chr8,1,212538,212538,0.01
452,chr8,1,212540,212540,0.01
453,chr8,1,212565,212565,0.01
454,chr8,4,212576,212579,0.01
455,chr8,5,212582,212586,0.01
456,chr8,1,212601,212601,0.01
457,chr8,1,212603,212603,0.01
458,chr8,1,212612,212612,0.01
459,chr8,2,212631,212632,0.01
460,chr8,1,212634,212634,0.01
461,chr8,2,212638,212639,0.01
462,chr8,2,212643,212644,0.01
463,chr8,1,212670,212670,0.01
464,chr8,1,212674,212674,0.01
465,chr8,1,212680,212680,0.01
466,chr8,1,212683,212683,0.01
467,chr8,1,212686,212686,0.01
468,chr8,1,212697,212697,0.01
469,chr8,1,212699,212699,0.01
470,chr8,1,212701,212701,0.01
471,chr8,2,212711,212712,0.01
472,chr8,2,212715,212716,0.01
473,chr8,1,212720,212720,0.01
474,chr8,2,212738,212739,0.01
475,chr8,3,212743,212745,0.01
476,chr8,1,212750,212750,0.01
477,chr8,1,212752,212752,0.01
478,chr8,1,212755,212755,0.01
479,chr8,1,212772,212772,0.01
480,chr8,2,212778,212779,0.01
481,chr8,1,212787,212787,0.01
482,chr8,1,212795,212795,0.01
483,chr8,1,212803,212803,0.01
484,chr8,1,212823,212823,0.01
485,chr8,1,212829,212829,0.01
486,chr8,1,212833,212833,0.01
487,chr8,1,212836,212836,0.01
488,chr8,3,212842,212844,0.01
489,chr8,1,212849,212849,0.01
490,chr8,1,212853,212853,0.01
491,chr8,1,212857,212857,0.01
492,chr8,1,212860,212860,0.01
493,chr8,1,212870,212870,0.01
494,chr8,1,212880,212880,0.01
495,chr8,1,212889,212889,0.01
496,chr8,1,212904,212904,0.01
497,chr8,3,212910,212912,0.01
498,chr8,1,212920,212920,0.01
499,chr8,1,212922,212922,0.01
500,chr8,1,212935,212935,0.01
501,chr8,2,212946,212947,0.01
502,chr8,1,212952,212952,0.01
503,chr8,1,212954,212954,0.01
504,chr8,1,212978,212978,0.01
505,chr8,2,212981,212982,0.01
506,chr8,1,212986,212986,0.01
507,chr8,1,212991,212991,0.01
508,chr8,1,213005,213005,0.01
509,chr8,3,213014,213016,0.01
510,chr8,1,213054,213054,0.01
511,chr8,1,213079,213079,0.01
512,chr8,1,213084,213084,0.01
513,chr8,2,213120,213121,0.01
514,chr8,1,213139,213139,0.01
515,chr8,1,213149,213149,0.01
516,chr8,1,213167,213167,0.01
517,chr8,2,213177,213178,0.01
518,chr8,1,213185,213185,0.01
519,chr8,4,213197,213200,0.01
520,chr8,2,213223,213224,0.01
521,chr8,1,213229,213229,0.01
522,chr8,1,213253,213253,0.01
523,chr8,1,213256,213256,0.01
524,chr8,1,213274,213274,0.01
525,chr8,2,213284,213285,0.01
526,chr8,3,213287,213289,0.01
527,chr8,2,213330,213331,0.01
528,chr8,1,213334,213334,0.01
529,chr8,1,213353,213353,0.01
530,chr8,1,213362,213362,0.01
531,chr8,1,213380,213380,0.01
532,chr8,3,213386,213388,0.01
533,chr8,1,213396,213396,0.01
534,chr8,2,213402,213403,0.01
535,chr8,1,213405,213405,0.01
536,chr8,2,213429,213430,0.01
537,chr8,1,213449,213449,0.01
538,chr8,1,213453,213453,0.01
539,chr8,1,213464,213464,0.01
540,chr8,2,213483,213484,0.01
541,chr8,1,213493,213493,0.01
542,chr8,1,213510,213510,0.01
543,chr8,1,213545,213545,0.01
544,chr8,1,213550,213550,0.01
545,chr8,1,213564,213564,0.01
546,chr8,1,213577,213577,0.01
547,chr8,1,213601,213601,0.01
548,chr8,1,213603,213603,0.01
549,chr8,1,213609,213609,0.01
550,chr8,1,213624,213624,0.01
551,chr8,4,213626,213629,0.01
552,chr8,1,213633,213633,0.01
553,chr8,1,213644,213644,0.01
554,chr8,2,213650,213651,0.01
555,chr8,3,213659,213661,0.01
556,chr8,1,213670,213670,0.01
557,chr8,1,213676,213676,0.01
558,chr8,1,213691,213691,0.01
559,chr8,1,213701,213701,0.01
560,chr8,4,213715,213718,0.01
561,chr8,3,213720,213722,0.01
562,chr8,1,213731,213731,0.01
563,chr8,1,213753,213753,0.01
564,chr8,1,213761,213761,0.01
565,chr8,1,213764,213764,0.01
566,chr8,1,213776,213776,0.01
567,chr8,1,213788,213788,0.01
568,chr8,2,213793,213794,0.01
569,chr8,1,213799,213799,0.01
570,chr8,1,213810,213810,0.01
571,chr8,1,213813,213813,0.01
572,chr8,1,213822,213822,0.01
573,chr8,1,213826,213826,0.01
574,chr8,2,213830,213831,0.01
575,chr8,1,213842,213842,0.01
576,chr8,2,213870,213871,0.01
577,chr8,1,213880,213880,0.01
578,chr8,1,213887,213887,0.01
579,chr8,1,213890,213890,0.01
580,chr8,1,213900,213900,0.01
581,chr8,1,213911,213911,0.01
582,chr8,1,213915,213915,0.01
583,chr8,1,213949,213949,0.01
584,chr8,1,213965,213965,0.01
585,chr8,1,213974,213974,0.01
586,chr8,1,213985,213985,0.01
587,chr8,2,214001,214002,0.01
588,chr8,1,214015,214015,0.01
589,chr8,2,214018,214019,0.01
590,chr8,1,214025,214025,0.01
591,chr8,3,214041,214043,0.01
592,chr8,1,214050,214050,0.01
593,chr8,1,214057,214057,0.01
594,chr8,1,214069,214069,0.01
595,chr8,5,214071,214075,0.01
596,chr8,1,214086,214086,0.01
597,chr8,1,214089,214089,0.01
598,chr8,1,214093,214093,0.01
599,chr8,1,214098,214098,0.01
600,chr8,2,214100,214101,0.01
601,chr8,1,214107,214107,0.01
602,chr8,1,214113,214113,0.01
603,chr8,1,214115,214115,0.01
604,chr8,2,214136,214137,0.01
605,chr8,2,214143,214144,0.01
606,chr8,1,214150,214150,0.01
607,chr8,1,214155,214155,0.01
608,chr8,5,214160,214164,0.01
609,chr8,1,214172,214172,0.01
610,chr8,2,214196,214197,0.01
611,chr8,2,214217,214218,0.01
612,chr8,1,214238,214238,0.01
613,chr8,2,214241,214242,0.01
614,chr8,1,214261,214261,0.01
615,chr8,1,214276,214276,0.01
616,chr8,1,214283,214283,0.01
617,chr8,1,214286,214286,0.01
618,chr8,2,214297,214298,0.01
619,chr8,1,214304,214304,0.01
620,chr8,1,214318,214318,0.01
621,chr8,1,214330,214330,0.01
622,chr8,5,214345,214349,0.01
623,chr8,1,214352,214352,0.01
624,chr8,1,214371,214371,0.01
625,chr8,1,214403,214403,0.01
626,chr8,1,214407,214407,0.01
627,chr8,1,214412,214412,0.01
628,chr8,1,214414,214414,0.01
629,chr8,1,214427,214427,0.01
630,chr8,1,214432,214432,0.01
631,chr8,1,214438,214438,0.01
632,chr8,2,214448,214449,0.01
633,chr8,1,214451,214451,0.01
634,chr8,1,214453,214453,0.01
635,chr8,1,214467,214467,0.01
636,chr8,1,214470,214470,0.01
637,chr8,1,214481,214481,0.01
638,chr8,1,214498,214498,0.01
639,chr8,2,214519,214520,0.01
640,chr8,1,214526,214526,0.01
641,chr8,1,214535,214535,0.01
642,chr8,1,214547,214547,0.01
643,chr8,1,214559,214559,0.01
644,chr8,1,214563,214563,0.01
645,chr8,2,214569,214570,0.01
646,chr8,1,214584,214584,0.01
647,chr8,1,214598,214598,0.01
648,chr8,1,214607,214607,0.01
649,chr8,2,214610,214611,0.01
650,chr8,1,214633,214633,0.01
651,chr8,1,214671,214671,0.01
652,chr8,1,214675,214675,0.01
653,chr8,3,214688,214690,0.01
654,chr8,1,214720,214720,0.01
655,chr8,2,214740,214741,0.01
656,chr8,1,214755,214755,0.01
657,chr8,2,214761,214762,0.01
658,chr8,1,214776,214776,0.01
659,chr8,1,214779,214779,0.01
660,chr8,1,214788,214788,0.01
661,chr8,2,214801,214802,0.01
662,chr8,1,214807,214807,0.01
663,chr8,1,214832,214832,0.01
664,chr8,1,214845,214845,0.01
665,chr8,3,214873,214875,0.01
666,chr8,1,214877,214877,0.01
667,chr8,1,214888,214888,0.01
668,chr8,1,214919,214919,0.01
669,chr8,1,214932,214932,0.01
670,chr8,1,214937,214937,0.01
671,chr8,1,214939,214939,0.01
672,chr8,1,214941,214941,0.01
673,chr8,1,214993,214993,0.01
674,chr8,2,215008,215009,0.01
675,chr8,1,215011,215011,0.01
676,chr8,1,215019,215019,0.01
677,chr8,2,215026,215027,0.01
678,chr8,1,215031,215031,0.01
679,chr8,1,215046,215046,0.01
680,chr8,2,215055,215056,0.01
681,chr8,1,215061,215061,0.01
682,chr8,1,215064,215064,0.01
683,chr8,1,215075,215075,0.01
684,chr8,1,215077,215077,0.01
685,chr8,1,215080,215080,0.01
686,chr8,1,215082,215082,0.01
687,chr8,1,215093,215093,0.01
688,chr8,1,215097,215097,0.01
689,chr8,1,215104,215104,0.01
690,chr8,2,215117,215118,0.01
691,chr8,1,215135,215135,0.01
692,chr8,1,215140,215140,0.01
693,chr8,1,215143,215143,0.01
694,chr8,1,215147,215147,0.01
695,chr8,1,215149,215149,0.01
696,chr8,1,215165,215165,0.01
697,chr8,8,215167,215174,0.01
698,chr8,1,215177,215177,0.01
699,chr8,1,215184,215184,0.01
700,chr8,1,215205,215205,0.01
701,chr8,2,215208,215209,0.01
702,chr8,1,215212,215212,0.01
703,chr8,1,215217,215217,0.01
704,chr8,1,215225,215225,0.01
705,chr8,1,215232,215232,0.01
706,chr8,2,215234,215235,0.01
707,chr8,1,215244,215244,0.01
708,chr8,2,215249,215250,0.01
709,chr8,1,215259,215259,0.01
710,chr8,1,215275,215275,0.01
711,chr8,1,215277,215277,0.01
712,chr8,2,215281,215282,0.01
713,chr8,1,215312,215312,0.01
714,chr8,1,215316,215316,0.01
715,chr8,1,215334,215334,0.01
716,chr8,1,215339,215339,0.01
717,chr8,1,215351,215351,0.01
718,chr8,1,215360,215360,0.01
719,chr8,1,215368,215368,0.01
720,chr8,2,215380,215381,0.01
721,chr8,2,215395,215396,0.01
722,chr8,1,215398,215398,0.01
723,chr8,1,215401,215401,0.01
724,chr8,1,215404,215404,0.01
725,chr8,1,215407,215407,0.01
726,chr8,2,215436,215437,0.01
727,chr8,1,215439,215439,0.01
728,chr8,1,215447,215447,0.01
729,chr8,1,215449,215449,0.01
730,chr8,1,215453,215453,0.01
731,chr8,1,215455,215455,0.01
732,chr8,1,215478,215478,0.01
733,chr8,1,215502,215502,0.01
734,chr8,8,215518,215525,0.01
735,chr8,1,215532,215532,0.01
736,chr8,1,215535,215535,0.01
737,chr8,1,215541,215541,0.01
738,chr8,1,215543,215543,0.01
739,chr8,1,215552,215552,0.01
740,chr8,2,215572,215573,0.01
741,chr8,1,215581,215581,0.01
742,chr8,1,215583,215583,0.01
743,chr8,1,215602,215602,0.01
744,chr8,1,215611,215611,0.01
745,chr8,1,215614,215614,0.01
746,chr8,1,215624,215624,0.01
747,chr8,2,215627,215628,0.01
748,chr8,2,215665,215666,0.01
749,chr8,2,215669,215670,0.01
750,chr8,1,215683,215683,0.01
751,chr8,1,215689,215689,0.01
752,chr8,1,215694,215694,0.01
753,chr8,1,215696,215696,0.01
754,chr8,1,215701,215701,0.01
755,chr8,1,215709,215709,0.01
756,chr8,1,215713,215713,0.01
757,chr8,8,215733,215740,0.01
758,chr8,2,215762,215763,0.01
759,chr8,1,215765,215765,0.01
760,chr8,1,215796,215796,0.01
761,chr8,1,215804,215804,0.01
762,chr8,1,215833,215833,0.01
763,chr8,1,215839,215839,0.01
764,chr8,1,215845,215845,0.01
765,chr8,1,215849,215849,0.01
766,chr8,1,215857,215857,0.01
767,chr8,1,215862,215862,0.01
768,chr8,1,215870,215870,0.01
769,chr8,1,215878,215878,0.01
770,chr8,1,215885,215885,0.01
771,chr8,1,215899,215899,0.01
772,chr8,2,215903,215904,0.01
773,chr8,1,215922,215922,0.01
774,chr8,1,215932,215932,0.01
775,chr8,1,215934,215934,0.01
