"","chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea"
"1246","chr2",33951647,33951647,0.0918314020458577,0.0918314020458577,100998,50934,50934,1,1,0.00526217906793941,0.991,0.097790350471029,1
"1207","chr19",55598782,55599320,0.0516291888085147,0.206516755234059,97638,429299,429302,4,5,0.0226046165349845,0.992,0.0351776700165139,1
"453","chr11",75139390,75139736,0.0501394256158149,0.20055770246326,36401,280085,280088,4,4,0.0246727643180992,0.992,0.0365157619269231,1
"2812","chr13",34184932,34185230,-0.0499349816839432,0.199739926735773,51501,314943,314946,4,5,0.0249551193952296,0.993,0.0366984969455252,1
"1158","chr19",43710277,43710277,0.0911242328325018,0.0911242328325018,95419,423205,423205,1,4,0.00552891324831832,0.993,0.098905034084502,1
"176","chr1",180922636,180923569,0.0449911263794008,0.224955631897004,14565,34926,34930,5,7,0.0247113744591264,0.994,0.0315444852192422,1
"2196","chr7",158750384,158751184,0.0444996133335037,0.222498066667519,176330,208260,208264,5,13,0.0251914959838085,0.995,0.0319954280877281,1
"1187","chr19",50861774,50862121,0.0440743600768209,0.220371800384105,96794,427018,427022,5,5,0.0255943972264361,0.995,0.032385066304812,1
"811","chr15",99789622,99789855,0.0440098061045362,0.220049030522681,67978,352282,352286,5,5,0.0256551124100362,0.995,0.0324451920206102,1
"2083","chr7",2152625,2152821,0.0581774595709048,0.174532378712714,165283,182576,182578,3,3,0.0193840591990724,0.995,0.0434143036130545,1
"2095","chr7",4848683,4848814,0.065882864425392,0.131765728850784,165768,184006,184007,2,4,0.0146367802561297,0.995,0.061845782844188,1
"2859","chr14",22971074,22971114,-0.0656005164414334,0.131201032882867,55688,324645,324646,2,2,0.0149627559506038,0.995,0.0621965161863437,1
"3628","chr6",29911265,29911265,-0.0896375223596939,0.0896375223596939,155678,152809,152809,1,27,0.00615404385227819,0.996,0.10138993560359,1
"826","chr16",3018991,3018991,0.0892925828695727,0.0892925828695727,69502,356750,356750,1,4,0.00630848441638709,0.996,0.101989129624264,1
"2904","chr14",102415401,102415401,-0.0890001265392103,0.0890001265392103,60646,335871,335871,1,8,0.00644494621253674,0.996,0.102519355912112,1
"708","chr14",69095057,69095679,0.0435692395219382,0.217846197609691,58001,330062,330066,5,5,0.0260497611034366,0.997,0.0328678404346028,1
"721","chr14",94405267,94405681,0.0567254756124669,0.170176426837401,59757,333732,333734,3,4,0.0214451333685639,0.997,0.0448331526123297,1
"1303","chr2",118593724,118594304,0.0476272231339944,0.190508892535978,105896,61397,61400,4,8,0.0284241374096604,0.998,0.0389676532491023,1
"187","chr1",203320386,203320541,0.0475043798526718,0.190017519410687,15685,37234,37237,4,6,0.028622493325014,0.998,0.0390958624960248,1
"1031","chr17",78682785,78683082,0.0563253297007361,0.168975989102208,86132,397834,397836,3,5,0.022067316633514,0.998,0.0452516747517088,1
"3557","chr5",112608004,112608004,-0.0853544218613901,0.0853544218613901,147738,133332,133332,1,1,0.00842054755074655,0.998,0.109854398505581,1
"3040","chr17",41739195,41739926,-0.0401988013299927,0.200994006649963,81944,387179,387183,5,8,0.0285255258715945,0.999,0.0364123103276822,1
"1637","chr4",940614,941054,0.0467494144908626,0.18699765796345,134045,103065,103068,4,4,0.0298037868001065,0.999,0.0398683600504702,1
"1485","chr22",36806001,36806443,0.0463835060241528,0.185534024096611,120629,449134,449137,4,6,0.030391191464742,0.999,0.0402547561946434,1
"1036","chr17",78755379,78755442,0.0547236247149636,0.164170874144891,86149,397881,397883,3,5,0.0246323857736662,0.999,0.0469514051586096,1
"3663","chr6",32729130,32729174,-0.0623601132654658,0.124720226530932,156402,159911,159912,2,35,0.0192092819957965,0.999,0.0666941555151639,1
"133","chr1",148854572,148854588,0.061504690322856,0.123009380645712,11668,27764,27765,2,10,0.0204875429243085,0.999,0.068002184567674,1
"1639","chr4",967324,967327,0.0610472529537555,0.122094505907511,134062,103119,103120,2,10,0.0212270302818452,0.999,0.0687057143892922,1
"2970","chr16",3115133,3115223,-0.0605819547513984,0.121163909502797,69549,356901,356902,2,8,0.0220039488448052,0.999,0.0694410754722153,1
"1879","chr5",178548229,178548373,0.0600355637747597,0.120071127549519,152462,144012,144013,2,6,0.0229093713885887,0.999,0.0703462032820978,1
"1661","chr4",9479622,9479947,0.0595335682967139,0.119067136593428,135597,107268,107269,2,2,0.0238242254172032,0.999,0.0712009315949142,1
"908","chr17",406249,406501,0.0455765057258602,0.182306022903441,76990,374307,374310,4,4,0.0316547156982055,1,0.0411124318464696,1
"1545","chr3",50487955,50488230,0.0452505223059257,0.181002089223703,125791,85881,85884,4,4,0.032171089492707,1,0.0414776071497729,1
"1581","chr3",127056837,127057048,0.0451331796675186,0.180532718670074,129462,92997,93000,4,5,0.032354708713012,1,0.0416102374052099,1
"215","chr1",228658371,228658973,0.0447711786136028,0.179084714454411,17787,41807,41810,4,6,0.0329368081674301,1,0.0420414331023307,1
"686","chr14",24641501,24642219,0.0445630853160412,0.178252341264165,55972,325440,325443,4,14,0.0332674996043197,1,0.0422781044248106,1
"1195","chr19",52996083,52996617,0.0441790389646054,0.176716155858422,97177,428063,428066,4,5,0.0338817250539437,1,0.0427449629239489,1
"3642","chr6",31543169,31543300,-0.0441367105102309,0.176546842040923,156047,156288,156291,4,14,0.0339521664562758,1,0.042795067687114,1
"612","chr12",133412002,133413162,0.0440615027140413,0.176246010856165,50226,312005,312008,4,5,0.0340721231539711,1,0.042887024664217,1
"368","chr10",135278717,135279010,0.0434161721551503,0.173664688620601,29182,260995,260998,4,5,0.0350697974087585,1,0.0436887008748586,1
"82","chr1",47900197,47900320,0.0432990148648616,0.173196059459446,7437,18272,18275,4,5,0.0352363220628072,1,0.0438437309067695,1
"1024","chr17",76037075,76037364,0.0418693876261189,0.167477550504475,85517,396093,396096,4,6,0.0373221538799802,1,0.045760680198686,1
"11","chr1",2084319,2084595,0.0415239540368845,0.166095816147538,645,1961,1964,4,5,0.0378096437521866,1,0.0462578962896244,1
"1086","chr18",77905663,77905751,0.0412383678812668,0.164953471525067,89340,406624,406627,4,11,0.0381995767031714,1,0.0466684606136772,1
"511","chr12",4488800,4489155,0.0409364465628913,0.163745786251565,40990,289915,289918,4,6,0.0385762466286126,1,0.0471034878515107,1
"1315","chr2",131797438,131797972,0.040769478046703,0.163077912186812,106812,63381,63384,4,7,0.0387999496594497,1,0.0473799482506217,1
"615","chr12",133424566,133424709,0.0542464697168256,0.162739409150477,50232,312034,312036,3,7,0.0254697247863253,1,0.0475031470212276,1
"1208","chr19",55660614,55660625,0.0538111582327913,0.161433474698374,97651,429329,429331,3,5,0.0262333803237416,1,0.0480044893867796,1
"1087","chr18",77917615,77918142,0.0521707417731895,0.156512225319568,89343,406631,406633,3,4,0.0292682553020418,1,0.0499397121805563,1
"64","chr1",39249425,39249604,0.0512483274795811,0.153744982438743,6355,15512,15514,3,5,0.0311560259377622,1,0.0510900585960469,1
"918","chr17",3289510,3290071,0.0499797268492537,0.149939180547761,77571,375876,375878,3,6,0.0338490095909359,1,0.0526966530902407,1
"2654","chr11",5959923,5960081,-0.0370991598996534,0.148396639598613,30526,265291,265294,4,6,0.0420464435786472,1,0.0533751305302764,1
"375","chr11",1283875,1283970,0.0494623821917726,0.148387146575318,29673,262526,262528,3,3,0.0350462186966808,1,0.053379551538791,1
"150","chr1",153599671,153599831,0.0485506319436852,0.145651895831056,12264,29363,29365,3,8,0.0372080918603044,1,0.0546006340905145,1
"1028","chr17",78417883,78418034,0.0363622585492284,0.145449034196914,86075,397694,397697,4,7,0.0423276197201737,1,0.054698780479538,1
"14","chr1",3600735,3600879,0.0483390757242465,0.145017227172739,1328,3995,3997,3,3,0.0377200446462913,1,0.0549042100085149,1
"1211","chr19",55668612,55669091,0.0481766482686832,0.14452994480605,97655,429340,429342,3,9,0.0381276616313345,1,0.0551181868206199,1
"787","chr15",76484379,76484625,0.0481241690723083,0.144372507216925,66129,348264,348266,3,4,0.0382602918867715,1,0.0551909860941598,1
"3742","chr6",159462964,159463173,-0.0480012754314807,0.144003826294442,163106,176477,176479,3,4,0.0385794887015233,1,0.055362521224525,1
"138","chr1",149149350,149149691,0.0358688658220273,0.143475463288109,11694,27827,27830,4,5,0.0424652604519273,1,0.0556162871132612,1
"1093","chr19",853054,853334,0.047716704170588,0.143150112511764,89603,407266,407268,3,5,0.0392821343214386,1,0.0557642435315488,1
"761","chr15",41062088,41062224,0.0471647731493846,0.141494319448154,63115,341596,341598,3,8,0.0407219094276828,1,0.0565382147554991,1
"3623","chr6",29723301,29723320,-0.0468486929702872,0.140546078910862,155640,152572,152574,3,4,0.0415406802045807,1,0.0569932838985986,1
"2395","chr1",25254088,25254149,-0.0467256481893058,0.140176944567918,4673,11273,11275,3,3,0.0418610559549364,1,0.0571715979086861,1
"3065","chr17",64300729,64301327,-0.0466988609769634,0.14009658293089,84214,392970,392972,3,3,0.0419353288979811,1,0.0572122711870202,1
"749","chr15",29213736,29213860,0.0465001596696209,0.139500479008863,62242,339800,339802,3,7,0.0424820602842826,1,0.0575190891779312,1
"3045","chr17",47091521,47092072,-0.0463397422646629,0.139019226793989,82796,389568,389570,3,9,0.0429153191187103,1,0.0577781602768848,1
"364","chr10",134983667,134983838,0.0462717153163656,0.138815145949097,29039,260476,260478,3,7,0.0430898015880852,1,0.0578801382066208,1
"824","chr16",2848577,2848830,0.046245696458967,0.138737089376901,69443,356591,356593,3,11,0.0431596535226154,1,0.0579181588798461,1
"2277","chr8",142276287,142276533,0.0455518730096164,0.136655619028849,184505,225420,225422,3,3,0.0450500767634445,1,0.0589977691591035,1
"1337","chr2",176948728,176948759,0.0452724397536307,0.135817319260892,108930,67503,67505,3,17,0.045811669163554,1,0.0594186491696904,1
"1310","chr2",130345044,130345355,0.0443259327556099,0.13297779826683,106640,62998,63000,3,4,0.0485677258715355,1,0.0610921482594047,1
"2728","chr12",739980,740338,-0.044200748200465,0.132602244601395,40544,288930,288932,3,3,0.0489296591019281,1,0.0613090724105195,1
"2025","chr6",138725872,138726184,0.0439363602824439,0.131809080847332,161767,173783,173785,3,14,0.0497157144158182,1,0.0618219093982094,1
"3265","chr2",231790037,231790777,-0.0437912501356425,0.131373750406928,111886,73844,73846,3,4,0.0501315839500886,1,0.0620830436344698,1
"746","chr15",25093366,25093521,0.0437660881006525,0.131298264301957,61851,338812,338814,3,4,0.0501996674812129,1,0.0621316747281301,1
"351","chr10",125751386,125751941,0.0431537158698759,0.129461147609628,27748,256716,256718,3,4,0.0520155230450964,1,0.0633279996321721,1
"1206","chr19",54876664,54876795,0.0431426038610565,0.12942781158317,97517,429007,429009,3,5,0.0520541331861236,1,0.0633536414815566,1
"1702","chr4",89978251,89978566,0.042695170092124,0.128085510276372,138659,113660,113662,3,3,0.0533515518181987,1,0.0642567061541323,1
"2344","chrX",51637845,51638041,0.042667376831363,0.128002130494089,192612,457352,457354,3,3,0.0534337825765697,1,0.0643153582004255,1
"2156","chr7",101398152,101398184,0.0425425028967129,0.127627508690139,171905,198171,198173,3,3,0.0537992526137739,1,0.064566176750152,1
"1643","chr4",1304836,1305113,0.0423501429809787,0.127050428942936,134200,103569,103571,3,8,0.054391373020825,1,0.0649911830353525,1
"193","chr1",206786174,206786180,0.0422980484974207,0.126894145492262,16135,38167,38169,3,9,0.0545384452374096,1,0.0651061292567312,1
"956","chr17",19628012,19628292,0.0420217646976537,0.126065294092961,79573,381119,381121,3,4,0.0553436582548629,1,0.0656879339772483,1
"793","chr15",85360655,85360691,0.0420176886103843,0.126053065831153,66884,349899,349901,3,7,0.0553545634091988,1,0.0656958917925745,1
"2532","chr1",248100407,248100585,-0.0419747335903949,0.125924200771185,19215,44739,44741,3,13,0.0554798253171116,1,0.0657875540357766,1
"1118","chr19",13135527,13135808,0.0415532631140598,0.12465978934218,92408,414946,414948,3,5,0.0567215392419031,1,0.0667383656003096,1
"3618","chr6",26196580,26196794,-0.0413333906064905,0.124000171819471,155033,149633,149635,3,8,0.057377616905465,1,0.0672467815794849,1
"926","chr17",5403149,5403516,0.0411672629662832,0.12350178889885,77957,376956,376958,3,17,0.0578615699708597,1,0.0676408408050833,1
"1074","chr18",43418829,43419501,0.04106600667899,0.12319802003697,88096,403686,403688,3,6,0.0581459881852968,1,0.0678671964410292,1
"1748","chr5",965717,966019,0.0410495259787091,0.123148577936127,142851,122660,122662,3,3,0.0581901982704425,1,0.0679034487108486,1
"2295","chr8",145638881,145639181,0.0407448934693751,0.122234680408125,185352,227869,227871,3,8,0.0590413897764473,1,0.0686031469917542,1
"2047","chr6",159084370,159084599,0.0405454908444502,0.12163647253335,163055,176367,176369,3,4,0.0595695529269876,1,0.0690629318772693,1
"1477","chr22",24372913,24372926,0.0404258903900459,0.121277671170138,119877,447191,447193,3,14,0.0598952338875608,1,0.0693541289714288,1
"870","chr16",57576350,57576862,0.0402601286246498,0.120780385873949,73222,365205,365207,3,4,0.0603500082967593,1,0.0697478934631263,1
"1273","chr2",74669349,74669380,0.0398531322092683,0.119559396627805,103572,56388,56390,3,13,0.0614646919102323,1,0.0707821147216341,1
"119","chr1",109941043,109941072,0.0397921587038223,0.119376476111467,10398,24756,24758,3,12,0.0616321007659839,1,0.0709395026247528,1
"1946","chr6",30079256,30079280,0.0397655625585998,0.119296687675799,155742,153338,153340,3,25,0.0616963527563957,1,0.071008175623679,1
"523","chr12",10096112,10096152,0.0397060445067004,0.119118133520101,41637,291592,291594,3,5,0.061856687998524,1,0.0711637951233918,1
"1945","chr6",30079155,30079192,0.0396757758162563,0.119027327448769,155742,153334,153336,3,25,0.0619312556754697,1,0.0712360049291298,1
"2324","chr9",139715701,139716215,0.0394604082321412,0.118381224696423,190817,237058,237060,3,5,0.0625071657179674,1,0.0717845047188371,1
"1735","chr4",184320187,184320560,0.0392871058855645,0.117861317656693,141910,120421,120423,3,10,0.0629348246082765,1,0.0722204161583735,1
"978","chr17",33825172,33825374,0.0391164505415304,0.117349351624591,80658,383725,383727,3,3,0.0633639571680906,1,0.0726516118554943,1
"1991","chr6",41168941,41168972,0.0390875386955681,0.117262616086704,157489,164428,164430,3,7,0.0634420616518479,1,0.0727235269273313,1
"3267","chr2",233284402,233284661,-0.0583623676317874,0.116724735263575,112077,74287,74288,2,11,0.0260002458080734,1,0.073197164306192,1
"2646","chr11",315751,316088,-0.038755169048203,0.116265507144609,29272,261233,261235,3,9,0.0642466852014992,1,0.0735826762486623,1
"2341","chrX",39949232,39949685,0.038553419123961,0.115660257371883,192041,455725,455727,3,8,0.0647344698076066,1,0.0741258708281522,1
"753","chr15",31196075,31196599,0.0385216850619261,0.115565055185778,62390,340074,340076,3,11,0.064801669137028,1,0.0742116383933348,1
"1084","chr18",77905119,77905298,0.0575241489309521,0.115048297861904,89340,406618,406619,2,11,0.0276840605843217,1,0.0746463708972673,1
"1798","chr5",78365687,78365801,0.0383249450283361,0.114974835085008,146507,130849,130851,3,8,0.0652420015850789,1,0.0747120965571838,1
"1463","chr21",47844012,47844134,0.0571586950040604,0.114317390008121,119040,445198,445199,2,2,0.0284633370184895,1,0.0752800487843553,1
"2178","chr7",143579665,143579698,0.057110628862007,0.114221257724014,174573,203617,203618,2,4,0.0285697359567401,1,0.0753669952851418,1
"1349","chr2",219233446,219233650,0.0377935911578958,0.113380773473688,111064,71965,71967,3,3,0.0663481379154238,1,0.0761162088614105,1
"928","chr17",6899380,6899577,0.0375121558532049,0.112536467559615,78075,377254,377256,3,17,0.0668730589930534,1,0.0768394858543938,1
"1924","chr6",28601324,28601365,0.037467714876153,0.112403144628459,155432,151161,151163,3,14,0.0669597107599389,1,0.0769638635606036,1
"3614","chr6",24646492,24646494,-0.0556636593984885,0.111327318796977,154863,149121,149122,2,12,0.0319155552005649,1,0.0778943384859696,1
"1229","chr2",8597867,8597923,0.055569703551629,0.111139407103258,99124,46899,46900,2,6,0.0321492791840351,1,0.0780620420756222,1
"2252","chr8",74282865,74282931,0.0553157306418798,0.11063146128376,181254,219103,219104,2,2,0.0327726413845891,1,0.0784926483049411,1
"3871","chr8",48744454,48744559,-0.0367425651877907,0.110227695563372,180055,216483,216485,3,7,0.0681174255229537,1,0.0788351290978696,1
"2088","chr7",2764209,2764246,0.0549370695937208,0.109874139187442,165497,183221,183222,2,10,0.0337420211848833,1,0.0791616942601457,1
"1829","chr5",139088813,139088815,0.0546125986610176,0.109225197322035,149301,136750,136751,2,12,0.0345852548755619,1,0.0797278780839113,1
"3839","chr7",149484880,149484985,-0.0545502910263979,0.109100582052796,174859,204222,204223,2,2,0.0347547268686203,1,0.079833982288261,1
"1773","chr5",28928346,28928735,0.0542015799877842,0.108403159975568,144307,126174,126175,2,3,0.0357158541196873,1,0.0804617654973296,1
"1758","chr5",1856713,1857306,0.0361177882019012,0.108353364605704,143183,123792,123794,3,14,0.0689491645914944,1,0.0805092176553859,1
"1989","chr6",41068646,41068666,0.0540282530489243,0.108056506097849,157474,164395,164396,2,10,0.0362048176613985,1,0.0807836149171901,1
"2393","chr1",25246854,25246922,-0.0536091977528282,0.107218395505656,4669,11268,11269,2,2,0.0373914163467085,1,0.0815116076525889,1
"3924","chr8",145008110,145008288,-0.0535951899151068,0.107190379830214,185206,227377,227378,2,3,0.0374294370199337,1,0.0815381337036763,1
"1969","chr6",32376066,32376095,0.0533624900247883,0.106724980049577,156342,159729,159730,2,11,0.0380766726664664,1,0.0819318981953738,1
"1013","chr17",72462559,72462984,0.0355233315875147,0.106569994762544,84807,394160,394162,3,8,0.0695312640459125,1,0.0820550969659797,1
"63","chr1",38461880,38461896,0.0532810247309727,0.106562049461945,6284,15369,15370,2,4,0.0383018493668084,1,0.0820609916439992,1
"1955","chr6",31276418,31276504,0.0355035973689764,0.106510792106929,155997,155821,155823,3,25,0.0695477691443668,1,0.0820998965189274,1
"1988","chr6",37504404,37504610,0.035273436042995,0.105820308128985,157188,163870,163872,3,6,0.0697190095408311,1,0.082717364041462,1
"1434","chr20",61659980,61660250,0.052685143957822,0.105370287915644,116922,440263,440264,2,2,0.040085578935486,1,0.0830946234347051,1
"3823","chr7",114561804,114561850,-0.0523896658172293,0.104779331634459,172668,199669,199670,2,10,0.0410095697150306,1,0.0836118814309095,1
"2038","chr6",152011656,152011666,0.0522854300540515,0.104570860108103,162543,175412,175413,2,7,0.0413408506197222,1,0.0837854796985815,1
"1361","chr2",231731972,231732249,0.0520718962890754,0.104143792578151,111873,73824,73825,2,3,0.0420493909176569,1,0.0841609706884188,1
"475","chr11",113953812,113954170,0.034498204707452,0.103494614122356,38298,284083,284085,3,4,0.0701307528004878,1,0.0847330491902039,1
"1859","chr5",170763956,170763967,0.0514219257436657,0.102843851487331,151436,141627,141628,2,9,0.0442115588151815,1,0.0852883278596336,1
"705","chr14",64663683,64663928,0.0513002004967432,0.102600400993486,57690,329396,329397,2,2,0.0446412808427975,1,0.0855046625429464,1
"202","chr1",209979665,209979733,0.0510793259554551,0.10215865191091,16409,38754,38755,2,14,0.0454078837192235,1,0.0858813324683876,1
"1753","chr5",1503595,1503763,0.0499426502405786,0.0998853004811572,143076,123434,123435,2,4,0.0495695264009365,1,0.0879589117363334,1
"1627","chr3",194868750,194868790,0.0498962568956522,0.0997925137913044,133403,101372,101373,2,4,0.0497440088703115,1,0.0880511634473374,1
"1673","chr4",40632362,40632723,0.0497089528258387,0.0994179056516774,136726,109515,109516,2,12,0.050485264631254,1,0.0883960021114737,1
"378","chr11",1769382,1769390,0.0495373335665447,0.0990746671330894,29828,263024,263025,2,13,0.0511575526593692,1,0.0887246304110565,1
"216","chr1",228756711,228756714,0.0493075146798667,0.0986150293597335,17803,41840,41841,2,3,0.0521065958204964,1,0.0892035730001347,1
"1847","chr5",140892677,140892822,0.049105804044152,0.098211608088304,149677,138073,138074,2,5,0.0529457032365614,1,0.0896232740751177,1
"1939","chr6",29856538,29856564,0.0484153754779444,0.0968307509558888,155664,152732,152733,2,39,0.0559180946278557,1,0.09115353248896,1
"384","chr11",1911511,1911547,0.048358865355996,0.096717730711992,29875,263189,263190,2,2,0.056160071160553,1,0.0912779101951698,1
"2100","chr7",5184155,5184295,0.0483433416849657,0.0966866833699314,165826,184180,184181,2,5,0.0562237336831628,1,0.091307088851366,1
"2247","chr8",61823027,61823275,0.0480092203487464,0.0960184406974928,180700,217849,217850,2,5,0.0577569394360149,1,0.0920984493754736,1
"1889","chr6",2892150,2892152,0.0478389188621738,0.0956778377243476,153203,145842,145843,2,5,0.058542700016004,1,0.0925154978453478,1
"905","chr17",180856,181288,0.0477996509692793,0.0955993019385586,76948,374202,374203,2,2,0.0587230771633984,1,0.0926098126936586,1
"2061","chr6",170268691,170268808,0.0474347404520497,0.0948694809040993,164294,179365,179366,2,2,0.0604254601754079,1,0.0935228983188673,1
"617","chr13",21893289,21893420,0.0471787783050573,0.0943575566101146,50541,312848,312849,2,5,0.0616774897867335,1,0.094191060072369,1
"2495","chr1",205818956,205819088,-0.047085734680545,0.0941714693610901,16070,38026,38027,2,10,0.0621237169128039,1,0.0944303839999576,1
"3925","chr8",145008909,145008957,-0.0470460427998124,0.0940920855996249,185207,227380,227381,2,5,0.0623191254891478,1,0.0945409092128218,1
"3253","chr2",206628625,206628692,-0.0469636075713998,0.0939272151427997,110309,70549,70550,2,3,0.062715247852053,1,0.0947551807588278,1
"1935","chr6",29648756,29648901,0.0467572848413654,0.0935145696827309,155617,152371,152372,2,22,0.0637577216597881,1,0.0953428801573643,1
"2044","chr6",158080676,158080750,0.0467194105444266,0.0934388210888531,162917,176086,176087,2,2,0.0639507723649242,1,0.095448984361714,1
"3382","chr3",114012659,114012806,-0.0467032732647384,0.0934065465294768,128554,91166,91167,2,5,0.0640403714708194,1,0.0954976154553742,1
"1478","chr22",24373134,24373322,0.0464099269682126,0.0928198539364252,119877,447198,447199,2,14,0.0655550089879103,1,0.0963269966527071,1
"168","chr1",167408735,167408841,0.0463032573791044,0.0926065147582088,13788,33241,33242,2,7,0.066109992923439,1,0.0966461934674589,1
"1149","chr19",38715064,38715106,0.046292424998228,0.0925848499964561,94564,420965,420966,2,6,0.0661627502917129,1,0.096675961591457,1
"3129","chr19",39998199,39998270,-0.046084158002204,0.0921683160044079,94828,421689,421690,2,5,0.0672388237641586,1,0.0972710293375178,1
"2385","chr1",19110922,19110978,-0.0459838837971256,0.0919677675942512,3812,9323,9324,2,4,0.0677711131893126,1,0.0975828578047453,1
"1986","chr6",36930021,36930062,0.0456939602837536,0.0913879205675071,157114,163716,163717,2,3,0.0693175819677084,1,0.0984803225332025,1
"1535","chr3",45077649,45077765,0.0456581515471949,0.0913163030943898,125025,83736,83737,2,10,0.0695038537931221,1,0.0985852478019482,1
"1085","chr18",77905391,77905408,0.04543878918711,0.0908775783742201,89340,406621,406622,2,11,0.0707054839073816,1,0.0992985038422985,1
"2356","chrX",132352415,132352420,0.0452551799504349,0.0905103599008698,194237,462067,462068,2,4,0.0717358736251769,1,0.0999136134936253,1
"1222","chr19",58545160,58545182,0.0452187782642889,0.0904375565285778,98159,430842,430843,2,12,0.0719439557592625,1,0.100030622852311,1
"852","chr16",32127656,32127659,0.0451768207373951,0.0903536414747901,72218,362992,362993,2,4,0.072184753356356,1,0.100169147785767,1
"182","chr1",200842126,200842145,0.0451205264083213,0.0902410528166425,15299,36347,36348,2,12,0.0725066027762165,1,0.100365440563814,1
